#     GEN:            L2:          <L2>:
         1        2272.53        2719.52
         2        2147.03        2538.04
         3        2102.82        2399.55
         4        2007.27        2295.11
         5        1936.93        2201.72
         6        1889.86        2113.32
         7        1779.38        2039.04
         8        1724.01        1970.13
         9        1641.96        1890.25
        10        1578.23        1807.24
        11        1505.32        1721.66
        12        1445.24        1642.77
        13        1324.86         1557.2
        14         1263.9        1475.12
        15         1182.4        1395.25
        16        1144.53        1323.66
        17        1119.53        1270.69
        18        1083.88        1233.17
        19        1045.18        1192.97
        20        1012.67        1166.14
        21        928.166        1136.46
        22         891.31        1092.55
        23         859.02        1032.52
        24        840.068        975.078
        25        795.094        930.188
        26        765.153        885.003
        27        719.858        851.864
        28        717.856        819.047
        29         688.95        782.699
        30        659.584        752.417
        31        630.965        726.345
        32        610.723        696.317
        33        610.723        663.423
        34        607.179        642.968
        35        592.908        626.399
        36        587.483        619.563
        37        579.255        610.564
        38        522.506        601.642
        39        522.506         591.45
        40         515.87          574.9
        41        513.056        557.077
        42         502.11        541.229
        43        489.693        525.356
        44         483.99        519.803
        45        483.874        509.927
        46         474.33        501.659
        47        463.212        498.692
        48        449.583        492.805
        49        449.583        483.265
        50         439.14        471.954
        51        377.192        464.067
        52        355.364        455.093
        53        350.841        436.416
        54        345.745        418.042
        55        337.483        392.008
        56        335.897        372.533
        57        322.538         354.22
        58        310.094        343.663
        59        307.414        335.746
        60        302.875        324.693
        61        302.875        317.381
        62         293.47          312.1
        63        288.367        308.222
        64        287.844        306.025
        65        283.834        302.684
        66        277.697        297.835
        67         276.92        295.133
        68        273.473        289.734
        69        268.881        285.546
        70        264.198        280.745
        71        252.657        277.078
        72         245.97        274.684
        73         245.97        274.007
        74        245.021        266.463
        75        241.846        259.217
        76        239.245        253.917
        77        236.518        248.986
        78         233.54        243.463
        79        228.391         240.91
        80        226.941        239.881
        81        210.057        236.196
        82        210.057        234.836
        83        204.282        232.888
        84        203.193        228.423
        85        200.414        224.416
        86        200.414        215.723
        87        197.576         210.19
        88        192.559        207.464
        89        185.987        205.973
        90        184.986         202.31
        91        182.298        197.108
        92        180.458        195.233
        93        179.457        192.613
        94        176.413        189.916
        95        176.413         186.32
        96        171.954        184.826
        97        170.208        182.358
        98        169.489        179.486
        99        169.082        178.039
       100        164.925        173.266
       101        161.246        171.688
       102        161.246        173.116
       103        160.053        183.082
       104        160.053        187.754
       105        159.371        190.797
       106        157.833        183.666
       107        156.986        183.212
       108        155.094        173.777
       109        154.412         168.02
       110        154.412        164.512
       111        154.361        164.558
       112        153.329        162.876
       113        153.329        164.804
       114        151.549        164.741
       115        150.466        164.254
       116        140.231        161.261
       117        133.938        158.247
       118        133.938        155.328
       119        133.132        149.043
       120        133.132        143.313
       121         132.53        141.312
       122         132.53        138.189
       123        129.411        134.839
       124        129.411        134.981
       125        126.064        132.684
       126        124.604        133.081
       127        122.801        130.736
       128        121.257        129.214
       129        120.988         126.75
       130        120.462        125.249
       131        120.193          124.8
       132        119.808        123.104
       133        119.732        122.653
       134        117.553        121.763
       135        117.128        120.692
       136        116.488        119.675
       137        115.205        118.861
       138        112.633        118.886
       139        111.252        117.274
       140        110.597        115.607
       141        110.441        114.975
       142        110.014        113.426
       143        102.805        112.085
       144        102.648        111.126
       145        101.577        108.048
       146        101.577        105.957
       147        101.577        104.619
       148        101.103        103.558
       149        100.001        103.097
       150        99.2992        102.469
       151        97.8984        101.499
       152        97.7419        100.752
       153        97.7419        105.004
       154        97.1551        108.771
       155        97.1551        103.054
       156        96.2722        100.579
       157        96.2722        99.3918
       158        95.4357        98.4278
       159        95.4357        97.0009
       160        94.1808        96.5845
       161        94.1808        96.0301
       162        94.1808        95.6722
       163        94.1808        95.3062
       164        90.2611        94.8918
       165        90.2611        94.5673
       166        89.1759        93.7156
       167        88.5398        92.7393
       168         85.828           91.9
       169        84.7694        91.5171
       170        84.6927        90.9131
       171        84.3454        88.2966
       172        84.0152        89.0038
       173        84.0152        87.5219
       174        84.0152        84.9941
       175         83.778        84.9767
       176         83.778        86.0759
       177         83.778        84.9601
       178         83.778         83.993
       179        83.1349        83.8365
       180        82.1349        83.9485
       181        82.1349        83.6925
       182        81.4864        83.9823
       183        81.2853        83.1544
       184        80.6368        82.1553
       185        80.6368        81.9663
       186        79.2217        81.7578
       187        79.2217        81.2724
       188        78.4365        80.8409
       189        78.4365        80.2594
       190        77.0214        79.4757
       191        77.0214        79.3184
       192        77.0214        78.8422
       193        76.8525        78.1686
       194        76.8525        78.6956
       195        76.6692        77.6395
       196        74.5393        77.1672
       197        71.8738        78.5083
       198        71.5216        78.0089
       199        69.5799        75.9995
       200        69.5799        74.4448
       201        69.5799        73.1213
       202        69.2277        72.5801
       203        69.2277        71.8507
       204        69.2277        70.8544
       205        69.2277        71.2486
       206        69.2277        70.1518
       207        69.2277         69.907
       208        69.2277        69.8585
       209        69.2277        70.6221
       210        69.2277        70.8314
       211        67.6214        70.0546
       212        67.6214        70.1297
       213        67.6214         69.407
       214         67.521        69.5043
       215         67.521        68.8906
       216        66.7575        68.4783
       217        66.7575        69.1984
       218        66.0966        70.3912
       219        65.8427        69.5734
       220        65.8179        67.5945
       221        65.8179        67.4436
       222        65.5778        67.1592
       223        65.5778        67.4216
       224        65.5778        66.2885
       225        64.9748         65.864
       226        64.9748        66.7199
       227        64.9748        66.5483
       228        64.9748        66.4305
       229         64.882        66.3915
       230         64.882        66.2935
       231        63.2444        65.7561
       232        63.2444        65.8534
       233        63.2444        65.4514
       234        63.2444        65.2744
       235        63.0721        64.8589
       236        63.0721        64.3707
       237        63.0721        63.5092
       238        63.0721        63.3242
       239        63.0721        63.5467
       240        63.0721        63.7611
       241        62.4538        63.9225
       242        62.4538        63.1889
       243        62.4538        62.9345
       244        62.4538        62.9777
       245        62.4538        62.5879
       246        62.4538        62.8549
       247        62.4538        62.8812
       248        62.4538        62.9579
       249        61.9805        63.1981
       250        61.9805        62.9281
       251        61.9805        62.4447
       252        61.9805        62.5332
       253        61.9805        62.5007
       254        61.9805         62.326
       255        61.9805          62.88
       256        61.9805        62.3307
       257        61.9805        62.4572
       258        61.9805        63.1716
       259        61.9805         63.566
       260        61.9805        62.7729
       261        61.5491        62.0989
       262        60.9308        64.2046
       263        60.9308        63.6088
       264        60.9308        64.5649
       265        60.9308        62.6274
       266        60.9308        61.7845
       267        60.9308        63.3024
       268        60.9308        61.4707
       269        60.9308        61.3436
       270        60.9308        61.5058
       271        60.9308        61.5661
       272        60.9308        62.2584
       273        60.9308        61.1111
       274        60.9308         61.106
       275        60.9308        61.0247
       276        60.9308        61.6998
       277        60.9281        61.5997
       278        60.9281        61.5687
       279        60.3456           62.8
       280        59.8332        64.7047
       281        59.8332        65.7175
       282        59.8332        69.3928
       283        59.8332        67.2531
       284        59.8332         64.661
       285        59.8332        63.0058
       286        59.8332        61.4368
       287        59.8332        60.7571
       288        59.8332        60.0704
       289        59.8332        60.2344
       290        59.8332        60.0337
       291        59.8332        60.0869
       292        59.8332        60.1785
       293        59.8332        60.2283
       294        59.8332        60.2524
       295        59.8332        61.3863
       296        59.8332        60.9482
       297        59.8332        60.2465
       298        59.8332        60.0376
       299        59.8332        59.9449
       300        59.8332        60.2379
       301        59.8332        60.5757
       302        59.8332        60.9445
       303        59.8332        60.2812
       304        59.8332        60.4051
       305        59.8332        62.1681
       306        59.8332        61.5445
       307        59.8332        60.9347
       308        59.8332        61.2054
       309        59.8332        60.4411
       310        59.8332         60.645
       311        59.4022        60.4649
       312        59.4022        60.2671
       313        59.4022         60.546
       314        59.4022        61.0984
       315        59.3569        59.8116
       316        59.3569        59.8937
       317        59.3569        60.1621
       318        59.3569        60.4344
       319        59.3569        60.0386
       320        59.3569        60.3828
       321        59.3569        60.8353
       322        59.3569        59.7917
       323        59.3569        59.5225
       324        59.3569        59.4889
       325        59.3569        59.7537
       326        59.1134        60.5849
       327        59.0681        60.2735
       328        59.0681        60.4851
       329        59.0681        59.8572
       330        59.0681        60.4864
       331        59.0681        59.5181
       332        59.0681        60.1129
       333        59.0681        59.2629
       334        59.0681        59.0689
       335        59.0681         59.083
       336        59.0681        59.1096
       337        59.0681        59.2886
       338        59.0681        59.9226
       339        59.0681        60.1889
       340        59.0681        60.8523
       341        59.0681        59.7749
       342        59.0681         59.298
       343        59.0681        60.0206
       344        59.0681        59.0681
       345        59.0336        59.3044
       346        59.0336        59.8617
       347        59.0336        59.5613
       348        59.0336        59.5793
       349        59.0336        60.2399
       350        59.0336        59.6709
       351        58.1841        59.1226
       352        58.1496        59.7129
       353        58.1496        60.0093
       354        58.1496         59.427
       355        58.0188        58.9526
       356        58.0188        58.8656
       357        58.0188        58.7355
       358        58.0188        58.3643
       359        58.0188        58.7716
       360        58.0188        60.1795
       361        58.0188        59.9265
       362        58.0188        58.9037
       363        58.0188         58.744
       364        58.0188         58.249
       365        58.0188        58.2016
       366        58.0188          58.91
       367        58.0188        59.3294
       368        58.0188        59.4068
       369        58.0188        59.1834
       370        58.0188        58.0855
       371        58.0188        58.3675
       372        58.0188        58.3921
       373        58.0188        58.9305
       374        58.0188        58.2282
       375        58.0188        58.0222
       376        58.0188          58.09
       377        58.0188        58.5244
       378        58.0188        58.3238
       379        58.0188        58.4454
       380        58.0188        59.0149
       381        57.8403        58.3821
       382        57.8403         58.602
       383        57.8403        64.0185
       384        57.8403        73.7154
       385        57.8403        85.0168
       386        57.5553        81.5567
       387        57.5553        86.3876
       388        57.5553        82.6242
       389        57.5553        82.5614
       390        57.5553        83.7966
       391        57.3538        84.4334
       392        57.3538        77.7401
       393        57.3538        74.2194
       394        57.3538         64.581
       395        57.3538        61.3681
