#     GEN:            L2:          <L2>:
         1        2044.32        2714.12
         2        2013.86        2483.91
         3        1843.14        2292.82
         4        1758.93        2142.95
         5        1701.32        2004.51
         6        1584.83         1880.8
         7        1512.62        1784.62
         8         1460.8        1693.82
         9        1399.14        1618.68
        10        1331.61        1562.18
        11        1262.05        1503.24
        12        1215.86        1442.01
        13        1134.77        1366.99
        14        1058.15        1278.73
        15        996.784        1198.92
        16        942.567        1129.62
        17        891.415        1071.48
        18        856.097        1015.68
        19        840.964        968.822
        20        801.786        927.332
        21        779.435        898.389
        22        745.665        865.612
        23        727.456          834.8
        24        716.831        804.675
        25        686.549        784.364
        26        667.267        759.356
        27        657.013        740.188
        28        646.216        723.619
        29        630.645        712.671
        30        587.922        696.965
        31        578.187        687.127
        32         569.98        671.842
        33        556.078         646.14
        34        520.508        626.078
        35        506.107        610.148
        36        499.083        589.882
        37        493.127         563.56
        38        482.981        536.795
        39        476.735        518.933
        40         459.89        507.368
        41        447.373        499.226
        42        447.373        486.998
        43        426.859        475.433
        44         420.16        463.334
        45        405.996        452.947
        46        394.733        440.857
        47        376.389        428.878
        48        369.553        413.537
        49        369.553        398.902
        50        363.386        387.774
        51        353.334        378.333
        52        346.103        371.718
        53        334.863        364.789
        54        329.763        359.305
        55        320.501        357.764
        56        316.876         361.45
        57        309.702        360.923
        58        305.887        355.341
        59        299.374         346.57
        60        297.092        336.324
        61        294.516        325.548
        62        287.886        316.773
        63        281.087        309.773
        64        274.031        310.495
        65        271.987        312.766
        66        263.629        311.494
        67        259.149         298.66
        68        258.452        287.672
        69        253.384        279.256
        70        245.875        276.926
        71         240.11        274.032
        72         240.11        271.423
        73        236.599        267.987
        74        232.855        260.771
        75         231.97        251.726
        76        228.451        245.161
        77        220.493        241.102
        78        218.407        237.041
        79        216.267        233.258
        80        213.735        228.948
        81        212.442        224.582
        82        208.962        220.997
        83        206.223        217.421
        84        203.319        214.101
        85        200.972        212.602
        86        196.959         210.94
        87        196.453        208.621
        88        192.922         205.73
        89        189.663        203.458
        90        186.082        201.724
        91        184.152        199.852
        92        180.801        197.754
        93        175.841         195.17
        94        175.299        192.935
        95        173.911        187.548
        96        172.568        182.245
        97        170.169        181.587
        98        167.965        183.986
        99        164.899        185.404
       100        159.806        183.322
       101        157.843        180.736
       102        156.349        177.196
       103        154.101          174.3
       104        152.507        175.996
       105        152.233        181.706
       106        149.749        186.345
       107        148.588        189.169
       108        146.578        189.759
       109        145.503        183.741
       110        143.493        171.307
       111         141.17        160.705
       112         141.17        154.002
       113        139.773        150.752
       114        138.439        150.511
       115        137.386         154.96
       116        136.835        162.592
       117        135.781        172.656
       118        134.121        178.022
       119        133.885        169.706
       120        130.821        156.586
       121        130.549        146.441
       122        130.172        141.435
       123        128.827        137.146
       124        127.509        134.926
       125        126.609        133.697
       126        126.184        132.589
       127        124.866        130.995
       128        123.342        129.006
       129        121.064        128.727
       130        120.493        130.872
       131        119.022        133.767
       132        118.973        137.419
       133        117.921        139.156
       134        116.629        141.696
       135        116.629        140.981
       136        115.181        140.551
       137        114.967         138.49
       138        112.506        134.624
       139        112.506        133.606
       140        111.257        133.521
       141        109.081        130.354
       142        108.546        123.873
       143        108.325        120.732
       144        105.412        118.839
       145        104.395        118.933
       146        104.395        116.011
       147        103.537        114.489
       148        103.537        111.605
       149        100.688        110.757
       150        100.688        112.062
       151        100.688        116.049
       152        100.688        121.931
       153        100.159        122.976
       154        100.078        119.496
       155        98.7549        112.442
       156        98.2262        108.458
       157        98.2262        105.792
       158        97.6236        104.732
       159        97.1617        103.301
       160        97.0393        103.277
       161        96.5592        106.934
       162        95.8598        111.609
       163         95.191         116.99
       164         93.889        115.655
       165         93.889        113.299
       166        93.0876         111.49
       167        93.0876        107.489
       168        92.1035        102.633
       169        92.1035        99.8106
       170        91.1685        98.0476
       171        90.1844          95.58
       172        90.1439        94.0098
       173        88.6333        92.7357
       174        85.9914        91.8289
       175        85.0748        91.2326
       176        85.0344        90.8731
       177          84.65        90.4343
       178          84.65        89.0568
       179        84.2986        87.6873
       180        84.2986        86.5088
       181        84.0439        87.0153
       182         83.869        86.4706
       183        83.5176         86.504
       184        83.1491        86.0635
       185        82.4446         85.621
       186        82.0761        85.4464
       187        82.0761        85.8085
       188        81.6355        85.6082
       189        80.7992        84.5523
       190        80.1065        84.2001
       191        79.1968        83.7123
       192        79.1968        82.8503
       193        79.1282        82.0348
       194        78.6132        81.8124
       195        77.8005        81.0721
       196        77.8005        81.4373
       197        77.8005        82.7954
       198        77.7707        85.5696
