#  VELOCITY:   ACTUAL_POFV:   AVE_POFV:      ERROR:
   0.0942809              0           0           0
    0.282843      0.0143877   0.0143877           0
    0.471405      0.0653337   0.0653337           0
    0.659966       0.101033    0.101033           0
    0.848528       0.141446    0.141446           0
     1.03709       0.163543    0.163543           0
     1.22565       0.270321    0.270321           0
     1.41421       0.333666    0.333666           0
     1.60278       0.306879    0.306879           0
     1.79134        0.35704     0.35704           0
      1.9799       0.395022    0.395022           0
     2.16846       0.346703    0.346703           0
     2.35702       0.393304    0.393304           0
     2.54558       0.697089    0.697089           0
     2.73415       0.419525    0.419525           0
     2.92271       0.346777    0.346777           0
     3.11127       0.285863    0.285863           0
     3.29983       0.190501    0.190501           0
     3.48839       0.160965    0.160965           0
     3.67696       0.106213    0.106213           0
     3.86552      0.0784447   0.0784447           0
     4.05408       0.050234    0.050234           0
     4.24264      0.0259764   0.0259764           0
      4.4312      0.0230546   0.0230546           0
     4.61976      0.0164009   0.0164009           0
     4.80833     0.00883883  0.00883883           0
     4.99689     0.00279896  0.00279896           0
     5.18545     0.00193963  0.00193963           0
     5.37401              0           0           0
     5.56257              0           0           0


   0.0942809      0.0130618  0.00653092  0.00461806
    0.282843      0.0321144    0.023251  0.00626736
    0.471405       0.128703   0.0970185   0.0224045
    0.659966       0.151144    0.126088    0.017717
    0.848528       0.157626    0.149536  0.00572049
     1.03709         0.2948    0.229171   0.0464062
     1.22565       0.308279      0.2893   0.0134201
     1.41421       0.436663    0.385165   0.0364149
     1.60278       0.534283    0.420581   0.0803993
     1.79134       0.496497    0.426768   0.0493056
      1.9799       0.500646    0.447834   0.0373438
     2.16846       0.388884    0.367794   0.0149132
     2.35702       0.312305    0.352805   0.0286372
     2.54558       0.334771     0.51593    0.128099
     2.73415       0.245965    0.332745   0.0613628
     2.92271       0.275772    0.311274   0.0251042
     3.11127       0.201501    0.243682   0.0298264
     3.29983       0.191803    0.191152 0.000460069
     3.48839       0.118367    0.139666   0.0150608
     3.67696      0.0600304   0.0831219   0.0163281
     3.86552      0.0370003   0.0577225   0.0146528
     4.05408      0.0519036   0.0510688 0.000590278
     4.24264      0.0229564   0.0244664  0.00106771
      4.4312     0.00822503   0.0156398  0.00524306
     4.61976              0  0.00820047  0.00579861
     4.80833              0  0.00441942    0.003125
     4.99689              0  0.00139948 0.000989583
     5.18545              0 0.000969817 0.000685764
     5.37401              0           0           0
     5.56257              0           0           0


   0.0942809     0.00238157   0.0051478  0.00327929
    0.282843      0.0465757   0.0310259  0.00759981
    0.471405      0.0762841    0.090107   0.0159668
    0.659966       0.170467    0.140881   0.0168935
    0.848528       0.357555    0.218876    0.056744
     1.03709       0.321807     0.26005   0.0399098
     1.22565       0.382771    0.320457   0.0269669
     1.41421       0.555693    0.442007   0.0523776
     1.60278       0.552746    0.464636   0.0645508
     1.79134       0.484884     0.44614   0.0364779
      1.9799       0.362785    0.419485   0.0339942
     2.16846       0.330327    0.355305   0.0142418
     2.35702       0.332046    0.345885   0.0199099
     2.54558       0.315964    0.449275    0.101267
     2.73415       0.265607    0.310366   0.0448041
     2.92271       0.180681    0.267743   0.0392863
     3.11127       0.135406     0.20759     0.03555
     3.29983       0.108816    0.163707   0.0224112
     3.48839       0.107073    0.128801   0.0133978
     3.67696      0.0806053    0.082283   0.0109069
     3.86552      0.0467476   0.0540642    0.010215
     4.05408      0.0586555   0.0535977  0.00210199
     4.24264      0.0228337   0.0239221 0.000839127
      4.4312     0.00405113   0.0117769  0.00470804
