#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.34275    -1.34275           0
           2   -0.760086    -1.05142    0.206004
           3   -0.546116   -0.882985    0.194357
           4   -0.490468   -0.784856    0.168731
           5   -0.485866   -0.725058    0.145195
           6   -0.427632   -0.675487    0.129181
           7   -0.394143   -0.635295    0.116812
           8   -0.427313   -0.609297    0.105064
           9   -0.429058   -0.589271   0.0952794
          10   -0.397375   -0.570081   0.0876626
          11   -0.393655   -0.554042   0.0811473
          12    -0.34959   -0.537005   0.0761526
          13   -0.323307   -0.520566   0.0720471
          14   -0.357097    -0.50889   0.0678404
          15   -0.357542     -0.4988   0.0640637
          16   -0.385145   -0.491697   0.0604522
          17   -0.411594   -0.486985   0.0570795
          18   -0.403057   -0.482322   0.0540986
          19   -0.323491   -0.473963   0.0518931
          20   -0.330558   -0.466792   0.0497914
