#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59311     1.59311           0
           2     1.59637     1.59474  0.00115249
           3     1.59696     1.59548 0.000977211
           4       1.597     1.59586 0.000803391
           5     1.59699     1.59609 0.000673714
           6     1.59696     1.59623 0.000576931
           7     1.59699     1.59634  0.00050463
           8     1.59693     1.59642 0.000446951
           9     1.59695     1.59648  0.00040124
          10     1.59698     1.59653 0.000364301
          11     1.59702     1.59657 0.000333966
          12     1.59705     1.59661 0.000308527
          13     1.59701     1.59664 0.000286276
          14     1.59705     1.59667 0.000267319
          15     1.59701     1.59669 0.000250442
          16     1.59692     1.59671 0.000235178
          17     1.59689     1.59672 0.000221594
          18     1.59681     1.59672 0.000209341
          19     1.59689     1.59673 0.000198514
          20     1.59696     1.59674 0.000188923
