#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.28501     1.28501           0
           2     1.28026     1.28263  0.00168205
           3     1.33324      1.2995   0.0138197
           4     1.33899     1.30938   0.0134355
           5     1.32138     1.31178   0.0109607
           6     1.30302     1.31032  0.00923061
           7       1.303     1.30927  0.00797091
           8     1.28905     1.30674  0.00736439
           9       1.298     1.30577  0.00660986
          10     1.30629     1.30582  0.00594907
          11     1.35328     1.31014  0.00679488
          12     1.34775     1.31327  0.00691401
          13     1.31395     1.31333  0.00638236
          14       1.309     1.31302  0.00593394
          15     1.33227      1.3143  0.00567546
          16     1.32213     1.31479  0.00534183
          17     1.31008     1.31451  0.00503477
          18     1.34133       1.316  0.00497067
          19     1.34495     1.31753  0.00493703
          20     1.34061     1.31868  0.00482315
