#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.92752     1.92752           0
           2     1.92038     1.92395  0.00252308
           3     1.99987     1.94926   0.0207295
           4     2.00849     1.96406   0.0201533
           5     1.98206     1.96766    0.016441
           6     1.95453     1.96547   0.0138459
           7      1.9545     1.96391   0.0119564
           8     1.93358     1.96012   0.0110466
           9       1.947     1.95866  0.00991478
          10     1.95943     1.95874  0.00892361
          11     2.02992     1.96521   0.0101923
          12     2.02163     1.96991    0.010371
          13     1.97093     1.96999  0.00957355
          14      1.9635     1.96952  0.00890092
          15      1.9984     1.97145  0.00851319
          16      1.9832     1.97218  0.00801274
          17     1.96513     1.97177  0.00755215
          18       2.012       1.974    0.007456
          19     2.01743     1.97629  0.00740555
          20     2.01091     1.97802  0.00723473
