#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59695     1.59695           0
           2     1.59686      1.5969 3.11091e-05
           3     1.59682     1.59687  3.0231e-05
           4     1.59685     1.59687 2.34235e-05
           5     1.59695     1.59688  2.4103e-05
           6     1.59698      1.5969  2.4851e-05
           7     1.59705     1.59692 2.94324e-05
           8     1.59701     1.59693 2.76971e-05
           9     1.59691     1.59693 2.47308e-05
          10     1.59683     1.59692 2.41942e-05
          11     1.59697     1.59693 2.24634e-05
          12     1.59698     1.59693 2.11009e-05
          13     1.59691     1.59693 1.95249e-05
          14     1.59688     1.59693  1.8418e-05
          15     1.59689     1.59692 1.73444e-05
          16     1.59696     1.59693 1.64459e-05
          17     1.59695     1.59693 1.55627e-05
          18     1.59685     1.59692 1.52323e-05
          19     1.59686     1.59692 1.47707e-05
          20     1.59694     1.59692 1.40671e-05
