#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0551      0.0551           0
           2      0.1142     0.08465    0.020895
           3      0.1118      0.0937   0.0157685
           4     -0.0948    0.046575   0.0424904
           5     -0.2808     -0.0189   0.0677131
           6     -0.3693     -0.0773   0.0776286
           7     -0.0937  -0.0796429   0.0665742
           8      0.3902  -0.0209125   0.0800715
           9      0.3762   0.0232111   0.0824403
          10      0.1515     0.03604   0.0751878
          11     -0.3304  0.00272727   0.0753719
          12     -0.2024  -0.0143667   0.0710029
          13      0.2638  0.00703077   0.0686896
          14      0.2523     0.02455   0.0659796
          15     -0.2514  0.00615333   0.0640943
          16      0.4762   0.0355312   0.0664811
          17      0.0305   0.0352353   0.0625711
          18      0.0608   0.0366556   0.0591111
          19     -0.1536   0.0266421   0.0568418
          20     -0.3434     0.00814   0.0569314
