#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      11.379      11.379           0
           2     11.2305     11.3048   0.0525124
           3     11.0255     11.2117   0.0836886
           4     10.8418     11.1192    0.101745
           5     10.8912     11.0736   0.0910392
           6     11.0975     11.0776   0.0759529
           7     11.0265     11.0703   0.0654517
           8     11.2269     11.0899   0.0601259
           9     11.1531     11.0969   0.0538545
          10     11.2097     11.1082   0.0496368
          11     10.9513     11.0939   0.0471279
          12     11.0873     11.0934   0.0432038
          13      11.073     11.0918   0.0399088
          14      10.897     11.0779   0.0394096
          15     11.1179     11.0806   0.0368727
          16     11.0395      11.078   0.0346574
          17     11.0344     11.0754   0.0327135
          18     11.1617     11.0802   0.0312449
          19     11.1207     11.0823   0.0296729
          20     10.8957      11.073     0.02962
