#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     79.3757     79.3757           0
           2     79.1598     79.2677   0.0763293
           3     79.8819     79.4725    0.174742
           4     78.5485     79.2415    0.239145
           5     77.1693      78.827    0.417144
           6     78.4744     78.7683    0.351736
           7     80.7658     79.0536    0.400869
           8     79.1468     79.0653     0.35093
           9     80.9506     79.2748    0.369203
          10     79.2983     79.2771     0.33229
          11     78.0067     79.1616    0.321526
          12     80.1838     79.2468    0.305808
          13     77.7134     79.1288    0.304183
          14      79.599     79.1624    0.284303
          15     78.9979     79.1515    0.265561
          16     78.9986     79.1419    0.249135
          17     78.6531     79.1132    0.236134
          18     82.4536     79.2987    0.286815
          19      77.473     79.2026    0.287366
          20     79.9456     79.2398    0.275389
