#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.667292   -0.667292           0
           2   -0.664244   -0.665768  0.00107763
           3   -0.666692   -0.666076 0.000761164
           4   -0.667088   -0.666329 0.000611476
           5    -0.66574   -0.666211 0.000500399
           6    -0.66322   -0.665713 0.000617253
           7     -0.6667   -0.665854 0.000544951
           8   -0.664444   -0.665678 0.000504519
           9   -0.663264   -0.665409 0.000514821
          10   -0.662668   -0.665135 0.000531335
          11   -0.664892   -0.665113 0.000483491
          12   -0.665412   -0.665138 0.000443842
          13   -0.666064   -0.665209 0.000415376
          14   -0.662912   -0.665045 0.000416859
          15    -0.66348   -0.664941 0.000401915
          16    -0.66732    -0.66509 0.000403366
          17   -0.665644   -0.665122 0.000380956
          18   -0.665588   -0.665148 0.000360669
          19   -0.666336   -0.665211 0.000347064
          20   -0.662368   -0.665068  0.00035763
