#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4278.17     4278.17           0
           2     4488.18     4383.17     74.2497
           3     4656.13     4474.16     89.2702
           4     4598.42     4505.22     72.1557
           5     4328.14     4469.81     65.8446
           6     4477.79     4471.14      54.884
           7     4644.98     4495.97     52.3614
           8     4445.12     4489.62     46.2004
           9      4543.2     4495.57     41.4489
          10     4488.68     4494.88     37.3097
          11     4520.96     4497.25     33.9932
          12     4624.38     4507.85     32.7696
          13     4594.77     4514.53     30.9236
          14     4586.85      4519.7      29.143
          15     4242.46     4501.22     32.5373
          16     4590.17     4506.78     30.9751
          17     4404.54     4500.76     29.7311
          18     4081.09     4477.45      36.081
          19     4471.77     4477.15     34.1833
          20     4481.78     4477.38     32.4749
