#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.570519   -0.570519           0
           2   -0.567918   -0.569219 0.000919451
           3   -0.570303    -0.56958  0.00068035
           4    -0.57001   -0.569688 0.000518692
           5   -0.572107   -0.570172 0.000599619
           6    -0.56773   -0.569765 0.000622642
           7      -0.571   -0.569941 0.000558158
           8    -0.57045   -0.570005 0.000491998
           9   -0.569852   -0.569988 0.000437624
          10   -0.568383   -0.569827 0.000422257
          11   -0.570284   -0.569869 0.000385907
          12   -0.571232   -0.569983 0.000370085
          13   -0.570562   -0.570027 0.000344288
          14   -0.568418   -0.569912 0.000338343
          15   -0.568233     -0.5698 0.000333785
          16   -0.572159   -0.569948 0.000343936
          17   -0.570176   -0.569961 0.000323967
          18   -0.570625   -0.569998 0.000308062
          19   -0.569862   -0.569991 0.000291932
          20   -0.567531   -0.569868 0.000302133
