#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1      500.87      500.87           0
           2     498.456     499.663     0.85331
           3      498.01     499.112     0.72527
           4     498.303      498.91    0.571422
           5     501.099     499.348    0.602007
           6     498.014     499.125    0.541134
           7     499.392     499.163    0.465169
           8     499.678     499.228    0.411439
           9     497.343     499.018    0.415626
          10     496.289     498.745    0.454951
          11      500.48     498.903    0.440072
          12     502.563     499.208       0.498
          13     499.615     499.239    0.460678
          14     495.978     499.006    0.483107
          15     495.921     498.801    0.492749
          16     502.317      499.02    0.508594
          17     498.411     498.985    0.479938
          18     498.046     498.932    0.456097
          19     500.698     499.025    0.441459
          20     492.568     498.703    0.524335
