#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1       5.986       5.986           0
           2      6.0469     6.01645   0.0215314
           3      6.8232     6.28537    0.220038
           4      4.0297     5.72145    0.515496
           5      4.6936     5.51588    0.451529
           6      5.4211     5.50008     0.37655
           7      5.4425     5.49186    0.322847
           8      7.1437     5.69834    0.342208
           9      5.3794      5.6629    0.306014
          10      5.5462     5.65123    0.275635
          11      5.0273     5.59451    0.256347
          12      6.2715     5.65092    0.241113
          13      5.9445     5.67351    0.223621
          14      6.2887     5.71745    0.211921
          15       4.766     5.65402    0.207068
          16      5.4114     5.63886    0.194681
          17       4.817     5.59051    0.189137
          18      5.2903     5.57383    0.179363
          19      5.1092     5.54938    0.171582
          20      4.8783     5.51583    0.166251
