#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -0.1277     -0.1277           0
           2      0.0181     -0.0548   0.0515481
           3     -0.1617  -0.0904333   0.0450274
           4      0.4572    0.046475    0.123282
           5     -0.1852     0.00014    0.106979
           6      0.0955   0.0160333    0.090322
           7      0.1417   0.0339857   0.0791829
           8     -0.4684  -0.0288125   0.0908355
           9      0.0118     -0.0243   0.0808546
          10       0.165    -0.00537   0.0749524
          11     -0.2846  -0.0307545   0.0723095
          12      0.1015  -0.0197333   0.0671183
          13     -0.0124  -0.0191692   0.0619577
          14       0.112     -0.0098   0.0582363
          15      0.0629 -0.00495333   0.0545552
          16      0.0934  0.00119375   0.0514906
          17      0.0273  0.00272941   0.0484847
          18      0.1236  0.00944444   0.0462537
          19      0.1693   0.0178579    0.044578
          20      0.0235     0.01814     0.04235
