#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.91644    -0.91644           0
           2   -0.915844   -0.916142 0.000210718
           3    -0.91212   -0.914801  0.00110363
           4   -0.907188   -0.912898  0.00184449
           5   -0.913992   -0.913117  0.00148851
           6   -0.911964   -0.912925  0.00125276
           7   -0.911228   -0.912682  0.00109699
           8   -0.914056   -0.912854 0.000973217
           9   -0.917768     -0.9134  0.00100666
          10   -0.912828   -0.913343 0.000907615
          11   -0.914084    -0.91341 0.000827602
          12   -0.915332    -0.91357 0.000773976
          13   -0.910396   -0.913326 0.000751971
          14   -0.903936   -0.912655 0.000951475
          15   -0.916104   -0.912885 0.000915398
          16    -0.91738   -0.913166 0.000900258
          17   -0.909124   -0.912928 0.000878142
          18    -0.91286   -0.912925 0.000829364
          19   -0.919764   -0.913285 0.000860291
          20   -0.912124   -0.913227 0.000819231
