#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3925.69     3925.69           0
           2     3960.87     3943.28     12.4383
           3     3757.23     3881.27     51.3115
           4     3791.96     3858.94     43.0676
           5     4006.07     3888.37     43.3565
           6     3852.13     3882.33     36.5486
           7     3662.76     3850.96     42.7166
           8     4053.45     3876.27     44.2448
           9     4046.26     3895.16     43.1724
          10     4160.66     3921.71     46.3047
          11     4189.64     3946.07     48.0762
          12     3949.18     3946.33     44.0706
          13     3875.07     3940.85       41.02
          14     3752.21     3927.37      40.242
          15     4197.21     3945.36     41.3853
          16     4177.63     3959.88     41.2664
          17     4240.33     3976.38     42.0073
          18     3589.67     3954.89     44.8319
          19      4016.6     3958.14     42.5898
          20     3821.91     3951.33     41.0014
