#   N_BLOCK:  ACCEPTANCE:
           1    0.506294
           2    0.506224
           3    0.506483
           4    0.506307
           5    0.506442
           6    0.506659
           7     0.50667
           8    0.506678
           9    0.506744
          10    0.506796
          11    0.506753
          12    0.506607
          13    0.506663
          14    0.506748
          15    0.506804
          16    0.506755
          17    0.506773
          18    0.506748
          19    0.506659
          20    0.506642
