#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     22.5266     22.5266           0
           2     22.8051     22.6658    0.098448
           3     21.8753     22.4023    0.224943
           4      22.589      22.449    0.173483
           5     22.9826     22.5557    0.168441
           6      22.438     22.5361    0.141505
           7     21.5877     22.4006    0.174488
           8     23.3015     22.5132    0.185487
           9     22.0331     22.4599    0.172376
          10     22.1617     22.4301    0.157697
          11     22.3588     22.4236    0.143494
          12     21.2217     22.3234    0.162777
          13     20.9374     22.2168    0.181852
          14     22.0864     22.2075    0.169101
          15     22.2929     22.2132    0.157923
          16     22.5294      22.233    0.149285
          17     22.1335     22.2271    0.140618
          18     21.7703     22.2017    0.135077
          19     22.5364     22.2193    0.129111
          20     22.6644     22.2416    0.124558
