#   N_BLOCK:  ACCEPTANCE:
           1    0.070806
           2    0.069188
           3    0.071317
           4    0.072828
           5    0.072472
           6   0.0714587
           7   0.0713817
           8   0.0717886
           9   0.0718341
          10    0.071679
          11   0.0715701
          12   0.0712668
          13   0.0713894
          14   0.0716925
          15   0.0720549
          16   0.0722063
          17   0.0719939
          18   0.0716504
          19   0.0714344
          20   0.0713683
