#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      1.3155      1.3155           0
           2      1.4287      1.3721   0.0400222
           3      1.7081      1.4841   0.0952605
           4      1.9036     1.58898    0.115557
           5      1.4566      1.5625   0.0954306
           6      1.6485     1.57683   0.0805947
           7      1.5356     1.57094   0.0692961
           8      1.3661     1.54534   0.0651933
           9      1.6639     1.55851   0.0592657
          10      1.2298     1.52564   0.0617861
          11      1.9018     1.55984   0.0649466
          12       0.996     1.51285   0.0746196
          13      1.3291     1.49872   0.0702056
          14      1.6417     1.50893   0.0659296
          15      1.8996     1.53497   0.0664799
          16       1.555     1.53622   0.0623367
          17      1.6076     1.54042    0.058811
          18      1.1488     1.51867   0.0594321
          19      1.5769     1.52173    0.056383
          20      1.3553     1.51341   0.0541745
