#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     354.314     354.314           0
           2     347.794     351.054     2.30515
           3     349.659     350.589     1.58296
           4     355.625     351.848     1.61189
           5     351.135     351.705      1.2958
           6     349.768     351.382     1.11935
           7     353.708     351.714     1.00753
           8     351.022     351.628    0.885297
           9     352.746     351.752    0.795606
          10     352.879     351.865    0.723982
          11     351.407     351.823     0.65936
          12     352.412     351.872    0.606238
          13      350.27     351.749    0.571997
          14     353.037     351.841    0.538487
          15     350.293     351.738    0.512388
          16     353.367      351.84    0.490372
          17     353.884      351.96    0.476038
          18     354.796     352.117     0.47495
          19     353.603     352.196    0.456342
          20     349.256     352.049    0.456581
