#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     150.911     150.911           0
           2     151.488     151.199    0.203849
           3     160.334     154.244      2.4899
           4     159.567     155.575     2.19439
           5     151.533     154.766     1.89861
           6     151.225     154.176     1.67143
           7     152.797     153.979     1.44422
           8     153.417     153.909      1.2654
           9     152.794     153.785     1.13085
          10     159.019     154.308     1.13242
          11     150.921         154     1.07052
          12     148.922     153.577     1.06166
          13     154.648      153.66    0.983185
          14     156.954     153.895    0.940695
          15     148.646     153.545    0.940829
          16     153.849     153.564     0.88222
          17     152.603     153.508    0.832132
          18     151.703     153.407    0.791921
          19     151.233     153.293    0.758467
          20     158.422     153.549    0.762664
