#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.616232   -0.616232           0
           2   -0.611279   -0.613755  0.00175114
           3   -0.615618   -0.614376   0.0012728
           4   -0.617439   -0.615142  0.00116236
           5   -0.615149   -0.615143 0.000929886
           6   -0.615427   -0.615191 0.000776104
           7   -0.615163   -0.615187 0.000665242
           8   -0.614766   -0.615134 0.000584161
           9   -0.613775   -0.614983 0.000538405
          10   -0.617469   -0.615232 0.000538905
          11   -0.615534   -0.615259 0.000490616
          12   -0.616582   -0.615369  0.00046195
          13   -0.615452   -0.615376 0.000426459
          14   -0.613687   -0.615255 0.000412702
          15   -0.614851   -0.615228 0.000386065
          16   -0.614699   -0.615195  0.00036335
          17   -0.613465   -0.615093 0.000355943
          18   -0.616627   -0.615179 0.000346215
          19   -0.615077   -0.615173 0.000328035
          20   -0.614276   -0.615128 0.000314686
