#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     -4.3088     -4.3088           0
           2    -11.3209    -7.81485     2.47915
           3     -22.808    -12.8126     4.40262
           4    -24.5389    -15.7442     4.16517
           5      6.3037    -11.3346     5.16319
           6     -5.3425    -10.3359     4.39818
           7     22.7101    -5.61504     5.77188
           8     16.8553    -2.80625     5.69295
           9     26.4949    0.449433     5.91856
          10    -16.9685    -1.29236     5.57712
          11    -17.1145    -2.73074     5.25232
          12     22.6567   -0.615117     5.22336
          13      5.5817   -0.138438     4.84326
          14     17.1776     1.09842     4.65257
          15    -32.1621    -1.11895     4.84204
          16     11.0474    -0.35855     4.59873
          17     11.0532    0.312729     4.37694
          18      4.7651    0.560083     4.14076
          19     -5.7944    0.225637     3.93631
          20    -21.3933    -0.85531     3.88508
