#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     20.6111     20.6111           0
           2     19.3252     19.9682    0.454643
           3     18.8838     19.6067     0.42304
           4     16.8365     18.9142    0.678519
           5      19.234     18.9781    0.545823
           6      17.931     18.8036    0.481946
           7     18.4191     18.7487    0.416216
           8     14.3979     18.2048    0.625644
           9     17.3015     18.1045    0.564121
          10     15.1144     17.8055    0.581576
          11     17.1549     17.7463    0.531704
          12     16.9931     17.6836    0.491086
          13     16.9677     17.6285    0.456387
          14     16.4643     17.5453    0.431297
          15     16.7328     17.4912    0.405932
          16     16.6087      17.436     0.38429
          17     15.0075     17.2932    0.387327
          18     18.5799     17.3646    0.372347
          19     18.1116      17.404    0.354819
          20     15.3481     17.3012    0.351652
