#   N_BLOCK:  ACCEPTANCE:
           1    0.511398
           2    0.510894
           3    0.509873
           4    0.509972
           5    0.510299
           6    0.510883
           7    0.510844
           8     0.51093
           9     0.51123
          10    0.511066
          11    0.510827
          12    0.510881
          13    0.510668
          14    0.510764
          15    0.510689
          16    0.510693
          17    0.510815
          18    0.510621
          19    0.510399
          20    0.510228
          21    0.510391
          22    0.510426
          23    0.510261
          24    0.510259
          25    0.510226
          26    0.510236
          27    0.510201
          28    0.510146
          29    0.510088
          30    0.510094
          31    0.510172
          32    0.510254
          33    0.510271
          34    0.510287
          35    0.510224
          36    0.510172
          37    0.510242
          38     0.51023
          39    0.510173
          40    0.510134
          41    0.510127
          42    0.510161
          43     0.51013
          44    0.510143
          45    0.510167
          46    0.510176
          47    0.510152
          48    0.510127
          49    0.510167
          50    0.510172
