#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913     0.00169655  0.00169655           0
    0.910562      0.0237316   0.0237316           0
    0.936212       0.171892    0.171892           0
    0.961861       0.572138    0.572138           0
    0.987511        1.21319     1.21319           0
     1.01316        1.88656     1.88656           0
     1.03881        2.34413     2.34413           0
     1.06446        2.57233     2.57233           0
     1.09011        2.51091     2.51091           0
     1.11576        2.38996     2.38996           0
     1.14141        2.19176     2.19176           0
     1.16706        1.96725     1.96725           0
     1.19271        1.75111     1.75111           0
     1.21836        1.54804     1.54804           0
     1.24401        1.39147     1.39147           0
     1.26966        1.24737     1.24737           0
     1.29531        1.12217     1.12217           0
     1.32096        1.02682     1.02682           0
     1.34661       0.948815    0.948815           0
     1.37226       0.870297    0.870297           0
     1.39791       0.819121    0.819121           0
     1.42355       0.773338    0.773338           0
      1.4492       0.736957    0.736957           0
     1.47485       0.703772    0.703772           0
      1.5005       0.682804    0.682804           0
     1.52615       0.677559    0.677559           0
      1.5518       0.674955    0.674955           0
     1.57745        0.66213     0.66213           0
      1.6031       0.671613    0.671613           0
     1.62875       0.689759    0.689759           0
      1.6544       0.708918    0.708918           0
     1.68005       0.720042    0.720042           0
      1.7057       0.752608    0.752608           0
     1.73135       0.783468    0.783468           0
       1.757       0.819419    0.819419           0
     1.78265       0.851998    0.851998           0
      1.8083       0.898465    0.898465           0
     1.83395       0.948061    0.948061           0
      1.8596       0.987152    0.987152           0
     1.88525        1.03343     1.03343           0
      1.9109        1.07108     1.07108           0
     1.93655        1.10155     1.10155           0
      1.9622         1.1382      1.1382           0
     1.98785        1.15358     1.15358           0
      2.0135        1.18781     1.18781           0
     2.03915        1.20592     1.20592           0
      2.0648        1.20724     1.20724           0
     2.09045        1.22084     1.22084           0
      2.1161        1.20929     1.20929           0
     2.14174        1.18675     1.18675           0
     2.16739        1.17034     1.17034           0
     2.19304         1.1425      1.1425           0
     2.21869         1.1125      1.1125           0
     2.24434        1.08675     1.08675           0
     2.26999        1.06398     1.06398           0
     2.29564        1.02994     1.02994           0
     2.32129          1.009       1.009           0
     2.34694       0.983305    0.983305           0
     2.37259       0.965642    0.965642           0
     2.39824       0.945653    0.945653           0
     2.42389       0.930983    0.930983           0
     2.44954       0.915125    0.915125           0
     2.47519       0.908126    0.908126           0
     2.50084       0.894158    0.894158           0
     2.52649       0.886862    0.886862           0
     2.55214       0.889021    0.889021           0


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263    0.000145892 7.29461e-05 5.15807e-05
    0.884913     0.00178825   0.0017424 3.24227e-05
    0.910562      0.0260702   0.0249009 0.000826791
    0.936212       0.160176    0.166034  0.00414229
    0.961861       0.567209    0.569674  0.00174262
    0.987511        1.19563     1.20441  0.00620955
     1.01316        1.86956     1.87806  0.00601044
     1.03881        2.33175     2.33794  0.00437621
     1.06446        2.53858     2.55546   0.0119322
     1.09011        2.51544     2.51317  0.00160244
     1.11576        2.42344      2.4067   0.0118392
     1.14141        2.18828     2.19002  0.00122778
     1.16706        1.97297     1.97011  0.00202259
     1.19271        1.75404     1.75257   0.0010352
     1.21836        1.56217      1.5551  0.00499456
     1.24401         1.4018     1.39664  0.00365047
     1.26966        1.23692     1.24215  0.00369348
     1.29531        1.13396     1.12806   0.0041691
     1.32096        1.03036     1.02859  0.00125138
     1.34661       0.946854    0.947835 0.000693092
     1.37226       0.882158    0.876227  0.00419332
     1.39791       0.826838     0.82298  0.00272855
     1.42355       0.766215    0.769777  0.00251835
      1.4492       0.739282    0.738119 0.000822088
     1.47485       0.716961    0.710367  0.00466324
      1.5005       0.699438    0.691121  0.00588098
     1.52615       0.679964    0.678762 0.000850292
      1.5518       0.668438    0.671696  0.00230382
     1.57745       0.670702    0.666416   0.0030305
      1.6031       0.677761    0.674687  0.00217356
     1.62875       0.696756    0.693257  0.00247413
      1.6544       0.702922     0.70592  0.00211971
     1.68005       0.724495    0.722269  0.00157422
      1.7057       0.755335    0.753971 0.000964336
     1.73135       0.786223    0.784846 0.000974092
       1.757        0.81971    0.819565 0.000102811
     1.78265         0.8475    0.849749  0.00158999
      1.8083       0.892667    0.895566  0.00204992
     1.83395       0.937278    0.942669  0.00381232
      1.8596       0.971545    0.979349  0.00551777
     1.88525        1.00487     1.01915   0.0100979
      1.9109        1.04734     1.05921  0.00839278
     1.93655        1.08455     1.09305  0.00600877
      1.9622        1.12059      1.1294   0.0062286
     1.98785        1.15637     1.15498 0.000986317
      2.0135        1.17828     1.18304  0.00337255
     2.03915        1.19563     1.20077  0.00363935
      2.0648        1.20735     1.20729 3.87109e-05
     2.09045        1.21098     1.21591  0.00348326
      2.1161        1.21159     1.21044 0.000813685
     2.14174        1.19601     1.19138  0.00327412
     2.16739        1.17841     1.17438  0.00285386
     2.19304        1.14949     1.14599  0.00247074
     2.21869        1.12564     1.11907  0.00464477
     2.24434        1.09525       1.091  0.00300682
     2.26999        1.07616     1.07007  0.00430417
     2.29564        1.03835     1.03414  0.00297512
     2.32129        1.01673     1.01287  0.00273303
     2.34694       0.995776     0.98954  0.00440916
     2.37259       0.972404    0.969023  0.00239059
     2.39824       0.953214    0.949433  0.00267303
     2.42389       0.931943    0.931463  0.00033925
     2.44954       0.921906    0.918515  0.00239721
     2.47519       0.920164    0.914145  0.00425627
     2.50084       0.907673    0.900915  0.00477838
     2.52649       0.886007    0.886434 0.000302312
     2.55214       0.890995    0.890008 0.000697784


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
