#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.45148    -5.45148           0
           2    -5.46411    -5.45779   0.0044663
           3    -5.44596    -5.45385  0.00438613
           4    -5.45885     -5.4551  0.00346294
           5    -5.46809     -5.4577   0.0036159
           6    -5.49061    -5.46318  0.00584471
           7    -5.45169    -5.46154  0.00523523
           8    -5.48267    -5.46418  0.00520471
           9    -5.48652    -5.46666  0.00518456
          10    -5.46078    -5.46608  0.00469933
          11    -5.46452    -5.46593  0.00427424
          12    -5.48438    -5.46747  0.00418521
          13    -5.45594    -5.46658  0.00395613
          14    -5.46006    -5.46612  0.00370093
          15     -5.4667    -5.46616   0.0034544
          16    -5.48432    -5.46729  0.00341993
          17    -5.48833    -5.46853  0.00343542
          18    -5.42697    -5.46622  0.00394482
          19    -5.45168    -5.46546  0.00381075
          20    -5.44705    -5.46454  0.00372966
          21    -5.48515    -5.46552  0.00367894
          22    -5.47728    -5.46605  0.00355037
          23    -5.45328     -5.4655  0.00343914
          24    -5.47473    -5.46588  0.00331729
          25    -5.45719    -5.46553  0.00320275
          26    -5.48577    -5.46631  0.00317275
          27    -5.45677    -5.46596  0.00307484
          28    -5.46212    -5.46582  0.00296809
          29    -5.46153    -5.46567  0.00286944
          30    -5.46391    -5.46561  0.00277439
          31    -5.48449    -5.46622  0.00275093
          32    -5.49242    -5.46704  0.00278408
          33    -5.48456    -5.46757  0.00274987
          34    -5.47398    -5.46776  0.00267544
          35    -5.46415    -5.46766  0.00260099
          36    -5.45305    -5.46725  0.00256018
          37    -5.48879    -5.46783   0.0025563
          38    -5.44054    -5.46712  0.00258796
          39    -5.46796    -5.46714   0.0025217
          40    -5.46112    -5.46699  0.00246314
          41    -5.47743    -5.46724  0.00241618
          42    -5.47363    -5.46739  0.00236344
          43     -5.4626    -5.46728   0.0023111
          44    -5.45225    -5.46694  0.00228368
          45    -5.45307    -5.46663  0.00225364
          46    -5.47422     -5.4668  0.00221068
          47    -5.45987    -5.46665  0.00216855
          48    -5.46607    -5.46664  0.00212341
          49     -5.4738    -5.46678   0.0020851
          50    -5.46228    -5.46669  0.00204535
