#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.45957     1.45957           0
           2     1.38317     1.42137   0.0270113
           3     1.51145      1.4514   0.0304179
           4     1.42546     1.44491   0.0234944
           5     1.34054     1.42404   0.0264924
           6     1.26095     1.39686   0.0332128
           7     1.45962     1.40582   0.0296538
           8     1.32999     1.39635   0.0274201
           9     1.28145     1.38358   0.0271835
          10     1.39568     1.38479    0.024492
          11     1.42162     1.38814   0.0224932
          12     1.34543     1.38458   0.0208985
          13     1.44903     1.38954   0.0198703
          14     1.39888      1.3902   0.0184622
          15     1.36894     1.38879   0.0172857
          16     1.29288     1.38279   0.0172132
          17     1.28754     1.37719   0.0170884
          18     1.58737     1.38887   0.0197291
          19     1.47078     1.39318    0.019156
          20     1.51093     1.39906   0.0190816
          21     1.31532     1.39508   0.0185851
          22     1.30781     1.39111   0.0181587
          23     1.47131      1.3946   0.0177008
          24     1.34512     1.39254   0.0170829
          25     1.43226     1.39412   0.0164733
          26     1.29431     1.39028   0.0162809
          27     1.41526     1.39121   0.0157042
          28     1.39448     1.39133   0.0151438
          29     1.41942      1.3923   0.0146525
          30     1.42167     1.39327   0.0141968
          31     1.27137     1.38934   0.0142731
          32     1.27682     1.38583   0.0142536
          33     1.30005     1.38323   0.0140567
          34     1.35135     1.38229   0.0136745
          35     1.38328     1.38232   0.0132838
          36     1.46797      1.3847   0.0131262
          37     1.29814     1.38236   0.0129782
          38     1.49944     1.38544   0.0129973
          39     1.38563     1.38544    0.012664
          40       1.407     1.38598   0.0123589
          41     1.34242     1.38492    0.012103
          42        1.36     1.38433   0.0118294
          43     1.43437     1.38549   0.0116114
          44      1.4332     1.38657    0.011398
          45      1.4541     1.38808   0.0112431
          46     1.33584     1.38694   0.0110559
          47     1.37592      1.3867   0.0108231
          48     1.37729     1.38651   0.0105994
          49     1.35409     1.38585   0.0104037
          50     1.41909     1.38651   0.0102169
