#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.54583     1.54583           0
           2     1.43532     1.49057   0.0390686
           3     1.47198     1.48438   0.0265331
           4     1.43886       1.473   0.0222065
           5     1.49486     1.47737   0.0181905
           6     1.45749     1.47405   0.0154576
           7     1.40306     1.46391   0.0162392
           8     1.52204     1.47118   0.0157512
           9      1.4553     1.46941   0.0140996
          10     1.62328      1.4848   0.0193419
          11     1.54335     1.49012   0.0183013
          12     1.69887     1.50752   0.0236394
          13     1.59167     1.51399   0.0226899
          14     1.46859     1.51075   0.0212997
          15     1.58116     1.51544   0.0203904
          16     1.48527     1.51356    0.019203
          17     1.48713       1.512   0.0181362
          18     1.54899     1.51406   0.0172447
          19     1.46413     1.51143    0.016536
          20     1.51096     1.51141   0.0157092
          21     1.49227     1.51049   0.0149876
          22      1.6762     1.51803    0.016088
          23     1.44804     1.51498   0.0156736
          24     1.54666      1.5163    0.015076
          25     1.55201     1.51773   0.0145405
          26     1.58794     1.52043   0.0142298
          27     1.62723     1.52439   0.0142419
          28     1.54333     1.52506   0.0137493
          29     1.51009     1.52455   0.0132849
          30     1.54819     1.52534   0.0128654
          31     1.38512     1.52081   0.0132217
          32     1.54185     1.52147   0.0128248
          33     1.67214     1.52604    0.013224
          34     1.56375     1.52715   0.0128815
          35     1.59087     1.52897   0.0126415
          36     1.64833     1.53228   0.0127177
          37     1.40263     1.52878   0.0128477
          38     1.46327     1.52705   0.0126247
          39     1.63138     1.52973   0.0125812
          40     1.50035     1.52899   0.0122881
          41     1.38738     1.52554   0.0124644
          42     1.57549     1.52673   0.0122242
          43     1.50875     1.52631   0.0119471
          44     1.75258     1.53145   0.0127343
          45     1.55064     1.53188   0.0124584
          46     1.62435     1.53389   0.0123487
          47     1.38511     1.53072   0.0124851
          48     1.54907     1.53111   0.0122309
          49     1.36917      1.5278   0.0124197
          50      1.4643     1.52653   0.0122361
