#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10267     1.10267           0
           2     1.11534     1.10901  0.00447957
           3     1.12243     1.11348  0.00471806
           4      1.1221     1.11563  0.00400026
           5     1.10923     1.11435  0.00339913
           6     1.11566     1.11457  0.00283954
           7     1.12127     1.11553  0.00259013
           8     1.10739     1.11451  0.00245799
           9     1.11392     1.11444  0.00218577
          10     1.09988     1.11299  0.00240374
          11     1.10926     1.11265  0.00220895
          12     1.09232     1.11095  0.00259427
          13     1.08785     1.10918    0.002941
          14     1.11295     1.10945  0.00274325
          15     1.10626     1.10923  0.00256856
          16     1.10728     1.10911  0.00241095
          17     1.11636     1.10954  0.00230649
          18     1.10532      1.1093  0.00219025
          19     1.11141     1.10941  0.00207779
          20      1.1168     1.10978  0.00200643
          21     1.10823     1.10971  0.00191226
          22     1.09166     1.10889  0.00199357
          23     1.12014     1.10938  0.00196594
          24     1.10088     1.10902  0.00191564
          25     1.10301     1.10878  0.00185407
          26     1.10016     1.10845  0.00181221
          27     1.09936     1.10812  0.00177611
          28     1.10825     1.10812  0.00171268
          29     1.11192     1.10825  0.00165864
          30     1.09968     1.10797   0.0016278
          31     1.11739     1.10827  0.00160343
          32     1.11217     1.10839  0.00155796
          33     1.09378     1.10795  0.00157241
          34     1.09786     1.10765  0.00155393
          35     1.11242     1.10779  0.00151549
          36      1.1065     1.10775  0.00147381
          37     1.12962     1.10834  0.00154799
          38     1.11726     1.10858  0.00152494
          39     1.10139     1.10839  0.00149693
          40     1.10855      1.1084  0.00145951
          41     1.12643     1.10884   0.0014887
          42     1.10862     1.10883  0.00145326
          43     1.10427     1.10873  0.00142332
          44     1.07954     1.10806  0.00153775
          45     1.11062     1.10812  0.00150462
          46     1.10171     1.10798  0.00147836
          47     1.12766      1.1084  0.00150504
          48     1.10644     1.10836  0.00147424
          49     1.12378     1.10867  0.00147737
          50     1.10564     1.10861  0.00144906
