#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.77627    -3.77627           0
           2    -3.77641    -3.77634 4.78002e-05
           3    -3.77723    -3.77664 0.000245426
           4    -3.77688     -3.7767 0.000191544
           5    -3.77605    -3.77657 0.000191968
           6    -3.77827    -3.77685 0.000304044
           7    -3.77588    -3.77671 0.000290727
           8    -3.77623    -3.77665 0.000260631
           9    -3.77638    -3.77662 0.000233393
          10    -3.77579    -3.77654 0.000224445
          11    -3.77731    -3.77661 0.000214805
          12    -3.77529     -3.7765 0.000223196
          13     -3.7762    -3.77648 0.000207187
          14    -3.77667    -3.77649 0.000192847
          15    -3.77538    -3.77642 0.000193632
          16    -3.77818    -3.77653 0.000210558
          17    -3.77691    -3.77655 0.000199378
          18     -3.7779    -3.77662 0.000201932
          19     -3.7774    -3.77667 0.000195397
          20    -3.77742     -3.7767 0.000189208
          21     -3.7772    -3.77673 0.000181685
          22    -3.77655    -3.77672 0.000173599
          23    -3.77842    -3.77679 0.000181201
          24    -3.77515    -3.77672 0.000186088
          25    -3.77705    -3.77674 0.000179108
          26    -3.77687    -3.77674 0.000172294
          27    -3.77568     -3.7767 0.000170334
          28    -3.77574    -3.77667 0.000167715
          29    -3.77647    -3.77666 0.000162067
          30    -3.77705    -3.77668 0.000157172
          31     -3.7782    -3.77672 0.000159626
          32    -3.77701    -3.77673 0.000154889
          33    -3.77583    -3.77671 0.000152614
          34    -3.77669    -3.77671 0.000148126
          35    -3.77684    -3.77671 0.000143945
          36    -3.77618    -3.77669 0.000140684
          37    -3.77816    -3.77673 0.000142363
          38    -3.77482    -3.77668 0.000147302
          39    -3.77656    -3.77668  0.00014356
          40    -3.77808    -3.77672 0.000144155
          41    -3.77817    -3.77675 0.000144942
          42    -3.77601    -3.77673 0.000142554
          43    -3.77655    -3.77673 0.000139302
          44    -3.77616    -3.77672  0.00013674
          45    -3.77668    -3.77672 0.000133703
          46    -3.77632    -3.77671 0.000131076
          47    -3.77846    -3.77674 0.000133488
          48     -3.7764    -3.77674 0.000130904
          49     -3.7789    -3.77678 0.000135442
          50    -3.77811    -3.77681 0.000135314
