#  DISTANCE:   ACTUAL_GOFR:   AVE_GOFR:      ERROR:
   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913    0.000779494 0.000779494           0
    0.910562      0.0262001   0.0262001           0
    0.936212       0.171687    0.171687           0
    0.961861       0.594143    0.594143           0
    0.987511        1.24397     1.24397           0
     1.01316        1.89285     1.89285           0
     1.03881        2.34253     2.34253           0
     1.06446        2.61112     2.61112           0
     1.09011        2.55563     2.55563           0
     1.11576        2.35209     2.35209           0
     1.14141         2.1597      2.1597           0
     1.16706        1.86346     1.86346           0
     1.19271         1.6956      1.6956           0
     1.21836        1.57354     1.57354           0
     1.24401        1.37894     1.37894           0
     1.26966        1.24383     1.24383           0
     1.29531        1.13991     1.13991           0
     1.32096        1.02734     1.02734           0
     1.34661       0.945052    0.945052           0
     1.37226       0.871155    0.871155           0
     1.39791       0.807453    0.807453           0
     1.42355       0.781684    0.781684           0
      1.4492       0.726032    0.726032           0
     1.47485       0.712009    0.712009           0
      1.5005       0.700714    0.700714           0
     1.52615       0.699173    0.699173           0
      1.5518       0.677922    0.677922           0
     1.57745        0.68581     0.68581           0
      1.6031       0.689791    0.689791           0
     1.62875       0.676155    0.676155           0
      1.6544       0.728308    0.728308           0
     1.68005       0.783447    0.783447           0
      1.7057       0.762913    0.762913           0
     1.73135       0.790308    0.790308           0
       1.757       0.803484    0.803484           0
     1.78265       0.818145    0.818145           0
      1.8083       0.880017    0.880017           0
     1.83395       0.930306    0.930306           0
      1.8596       0.973331    0.973331           0
     1.88525        1.03397     1.03397           0
      1.9109        1.03481     1.03481           0
     1.93655        1.10476     1.10476           0
      1.9622        1.12052     1.12052           0
     1.98785        1.15993     1.15993           0
      2.0135        1.19116     1.19116           0
     2.03915        1.21239     1.21239           0
      2.0648        1.23923     1.23923           0
     2.09045        1.22073     1.22073           0
      2.1161        1.19999     1.19999           0
     2.14174        1.20102     1.20102           0
     2.16739        1.19235     1.19235           0
     2.19304        1.12366     1.12366           0
     2.21869        1.12446     1.12446           0
     2.24434        1.07379     1.07379           0
     2.26999        1.06059     1.06059           0
     2.29564        1.03038     1.03038           0
     2.32129       0.998445    0.998445           0
     2.34694       0.963943    0.963943           0
     2.37259       0.965891    0.965891           0
     2.39824       0.937325    0.937325           0
     2.42389       0.903431    0.903431           0
     2.44954       0.906143    0.906143           0
     2.47519       0.911818    0.911818           0
     2.50084       0.905755    0.905755           0
     2.52649       0.901426    0.901426           0
     2.55214       0.899397    0.899397           0


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
    0.243672              0           0           0
    0.269321              0           0           0
    0.294971              0           0           0
     0.32062              0           0           0
     0.34627              0           0           0
     0.37192              0           0           0
    0.397569              0           0           0
    0.423219              0           0           0
    0.448869              0           0           0
    0.474518              0           0           0
    0.500168              0           0           0
    0.525818              0           0           0
    0.551467              0           0           0
    0.577117              0           0           0
    0.602767              0           0           0
    0.628416              0           0           0
    0.654066              0           0           0
    0.679715              0           0           0
    0.705365              0           0           0
    0.731015              0           0           0
    0.756664              0           0           0
    0.782314              0           0           0
    0.807964              0           0           0
    0.833613              0           0           0
    0.859263              0           0           0
    0.884913     0.00197166  0.00137558 0.000421495
    0.910562      0.0231254   0.0246627  0.00108708
    0.936212         0.1748    0.173244  0.00110075
    0.961861       0.583393    0.588768  0.00380084
    0.987511        1.24821     1.24609  0.00149706
     1.01316        1.84794      1.8704   0.0158794
     1.03881         2.2508     2.29666   0.0324334
     1.06446        2.55097     2.58105   0.0212651
     1.09011        2.49945     2.52754   0.0198595
     1.11576        2.40983     2.38096   0.0204152
     1.14141        2.18732     2.17351  0.00976376
     1.16706        1.94191     1.90269   0.0277383
     1.19271        1.71809     1.70685  0.00795138
     1.21836        1.58169     1.57761  0.00288213
     1.24401        1.43837     1.40866   0.0210087
     1.26966        1.26218     1.25301  0.00648918
     1.29531        1.14399     1.14195  0.00144519
     1.32096        1.03862     1.03298  0.00398694
     1.34661       0.977389     0.96122   0.0114325
     1.37226       0.859752    0.865454  0.00403152
     1.39791       0.802106    0.804779  0.00189049
     1.42355       0.790118    0.785901  0.00298193
      1.4492       0.757319    0.741675   0.0110619
     1.47485       0.727196    0.719603  0.00536944
      1.5005       0.669408    0.685061   0.0110684
     1.52615       0.690694    0.694934  0.00299782
      1.5518       0.650664    0.664293  0.00963703
     1.57745       0.671149     0.67848  0.00518348
      1.6031       0.680807    0.685299  0.00317636
     1.62875       0.712552    0.694354   0.0128683
      1.6544       0.703932     0.71612  0.00861797
     1.68005       0.686877    0.735162   0.0341425
      1.7057       0.746856    0.754885  0.00567693
     1.73135       0.752551     0.77143   0.0133493
       1.757       0.780232    0.791858  0.00822075
     1.78265       0.834755     0.82645  0.00587257
      1.8083       0.909029    0.894523   0.0102573
     1.83395       0.966103    0.948205   0.0126562
      1.8596        1.00639    0.989862    0.011689
     1.88525        1.03194     1.03296 0.000717963
      1.9109        1.08347     1.05914   0.0172028
     1.93655         1.1194     1.11208  0.00517601
      1.9622        1.14209     1.13131  0.00762666
     1.98785        1.14535     1.15264  0.00515327
      2.0135        1.18174     1.18645  0.00333184
     2.03915        1.20205     1.20722  0.00365462
      2.0648        1.21694     1.22809  0.00787916
     2.09045        1.20262     1.21168  0.00640293
      2.1161        1.17343     1.18671  0.00938998
     2.14174        1.17557      1.1883   0.0089976
     2.16739        1.15595     1.17415   0.0128721
     2.19304         1.1435     1.13358  0.00701626
     2.21869        1.12893      1.1267  0.00158092
     2.24434        1.11989     1.09684   0.0162968
     2.26999        1.08561      1.0731  0.00884732
     2.29564        1.05037     1.04037  0.00706801
     2.32129        1.01327     1.00586  0.00523987
     2.34694       0.989596     0.97677  0.00906955
     2.37259       0.938972    0.952432  0.00951727
     2.39824       0.934203    0.935764  0.00110365
     2.42389       0.908712    0.906072  0.00186695
     2.44954       0.891481    0.898812  0.00518374
     2.47519       0.895249    0.903534  0.00585807
     2.50084       0.905646    0.905701 3.85681e-05
     2.52649       0.904784    0.903105  0.00118737
     2.55214       0.909298    0.904347  0.00350061


   0.0128248              0           0           0
   0.0384745              0           0           0
   0.0641241              0           0           0
   0.0897737              0           0           0
    0.115423              0           0           0
    0.141073              0           0           0
    0.166723              0           0           0
    0.192372              0           0           0
    0.218022              0           0           0
