#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.43028    -5.43028           0
           2    -5.44942    -5.43985  0.00676716
           3    -5.46087    -5.44685   0.0072868
           4    -5.46003    -5.45015   0.0061643
           5    -5.43989     -5.4481  0.00526151
           6    -5.45175    -5.44871  0.00441972
           7    -5.45778       -5.45  0.00397388
           8    -5.43731    -5.44842  0.00378055
           9    -5.44726    -5.44829  0.00336268
          10    -5.42561    -5.44602  0.00371301
          11    -5.44121    -5.44558  0.00340116
          12    -5.41377    -5.44293     0.00402
          13    -5.40798    -5.44024  0.00452115
          14     -5.4461    -5.44066  0.00421749
          15    -5.43478    -5.44027  0.00395453
          16    -5.43909     -5.4402  0.00370805
          17    -5.45145    -5.44086  0.00354851
          18    -5.43587    -5.44058  0.00336216
          19    -5.44452    -5.44079  0.00319159
          20    -5.45262    -5.44138  0.00308631
          21    -5.43954    -5.44129  0.00294058
          22    -5.41404    -5.44005  0.00305663
          23    -5.45863    -5.44086  0.00302854
          24    -5.42647    -5.44026  0.00296107
          25    -5.43156    -5.43991    0.002863
          26    -5.42711    -5.43942  0.00279492
          27    -5.42472    -5.43888  0.00274394
          28    -5.43811    -5.43885  0.00264608
          29    -5.44436    -5.43904  0.00256164
          30    -5.42656    -5.43862  0.00250979
          31    -5.45429    -5.43913  0.00247918
          32    -5.44527    -5.43932  0.00240913
          33    -5.41649    -5.43863  0.00243339
          34    -5.42347    -5.43818  0.00240229
          35    -5.44547    -5.43839  0.00234267
          36    -5.43594    -5.43832  0.00227858
          37     -5.4726    -5.43925   0.0023979
          38    -5.45071    -5.43955  0.00235369
          39    -5.42865    -5.43927  0.00230989
          40    -5.44091    -5.43931  0.00225251
          41    -5.46781    -5.44001  0.00230233
          42    -5.43894    -5.43998  0.00224765
          43    -5.43296    -5.43982   0.0022013
          44    -5.39547    -5.43881  0.00237077
          45    -5.44261    -5.43889  0.00231959
          46    -5.42888    -5.43868  0.00227936
          47    -5.46995    -5.43934  0.00232596
          48    -5.43605    -5.43927  0.00227851
          49    -5.46457    -5.43979  0.00228973
          50    -5.43657    -5.43973  0.00224484
