#   N_BLOCK:  ACCEPTANCE:
           1      0.5619
           2      0.5403
           3      0.5568
           4      0.5542
           5      0.5571
           6      0.5583
           7      0.5661
           8      0.5528
           9      0.5626
          10      0.5571
          11      0.5526
          12      0.5523
          13      0.5516
          14      0.5594
          15      0.5493
          16      0.5565
          17      0.5567
          18        0.55
          19      0.5583
          20      0.5521
          21      0.5648
          22      0.5657
          23      0.5612
          24      0.5611
          25       0.556
          26      0.5554
          27      0.5623
          28      0.5615
          29      0.5566
          30       0.565
          31      0.5577
          32      0.5618
          33      0.5647
          34      0.5617
          35      0.5595
          36      0.5568
          37      0.5592
          38       0.552
          39      0.5627
          40      0.5562
          41      0.5552
          42      0.5594
          43        0.56
          44       0.556
          45      0.5524
          46      0.5634
          47      0.5565
          48      0.5573
          49      0.5577
          50      0.5598
          51      0.5492
          52      0.5505
          53      0.5597
          54      0.5513
          55      0.5581
          56       0.561
          57      0.5619
          58      0.5584
          59      0.5516
          60      0.5609
          61      0.5646
          62      0.5535
          63      0.5631
          64       0.553
          65      0.5586
          66      0.5522
          67      0.5538
          68       0.557
          69      0.5559
          70      0.5583
          71      0.5581
          72      0.5499
          73      0.5607
          74       0.556
          75      0.5495
          76      0.5532
          77      0.5631
          78      0.5615
          79      0.5646
          80      0.5562
          81      0.5559
          82       0.552
          83      0.5606
          84      0.5568
          85      0.5714
          86      0.5614
          87       0.555
          88      0.5556
          89      0.5562
          90      0.5502
          91      0.5692
          92      0.5519
          93      0.5561
          94      0.5599
          95      0.5639
          96      0.5599
          97      0.5636
          98      0.5536
          99      0.5528
         100      0.5588
