#   N_BLOCK:  ACCEPTANCE:
           1      0.5985
           2      0.5823
           3      0.5943
           4      0.5914
           5      0.5929
           6      0.5933
           7      0.5958
           8      0.6021
           9      0.5931
          10       0.597
          11      0.5959
          12      0.5997
          13      0.5831
          14      0.5981
          15      0.6018
          16      0.5864
          17      0.6002
          18      0.5995
          19      0.6013
          20      0.5892
          21      0.5972
          22      0.6039
          23      0.6044
          24      0.6056
          25      0.5987
          26      0.5906
          27      0.5969
          28      0.5973
          29      0.6054
          30      0.6018
          31      0.6013
          32      0.6031
          33      0.6007
          34      0.6054
          35      0.5991
          36      0.5993
          37      0.6075
          38      0.6023
          39      0.5986
          40      0.5965
          41      0.6007
          42      0.6017
          43      0.6017
          44      0.6008
          45      0.5936
          46      0.5958
          47      0.5905
          48      0.5968
          49      0.5997
          50      0.6036
          51      0.5885
          52      0.5938
          53      0.5995
          54      0.5929
          55      0.5968
          56      0.6022
          57      0.6042
          58       0.589
          59      0.5885
          60      0.5957
          61      0.6028
          62      0.5948
          63       0.604
          64      0.5885
          65      0.6019
          66      0.5884
          67      0.6039
          68      0.5996
          69      0.6024
          70      0.5957
          71      0.5943
          72      0.5917
          73      0.5971
          74      0.5914
          75      0.5986
          76      0.5991
          77      0.5915
          78      0.5992
          79      0.6048
          80       0.591
          81      0.6006
          82      0.6008
          83       0.592
          84      0.6011
          85       0.612
          86      0.5988
          87      0.5955
          88      0.5955
          89      0.5972
          90      0.5889
          91      0.5982
          92      0.6008
          93       0.585
          94      0.5968
          95      0.5975
          96      0.5991
          97      0.5957
          98      0.6012
          99      0.6003
         100      0.5897
