#     BLOCK:   ACTUAL_E:     E_AVE:       ERROR:
           1   -0.448261   -0.448261           0
           2   -0.436209   -0.442235  0.00602596
           3   -0.453997   -0.446156  0.00524166
           4   -0.453782   -0.448062  0.00416804
           5    -0.45204   -0.448858  0.00332512
           6   -0.440344   -0.447439  0.00306335
           7   -0.443703   -0.446905  0.00264343
           8   -0.444489   -0.446603  0.00230911
           9   -0.449065   -0.446877  0.00205474
          10   -0.437892   -0.445978  0.00204569
          11     -0.4416    -0.44558  0.00189272
          12   -0.460286   -0.446806  0.00211827
          13   -0.434626   -0.445869  0.00216206
          14   -0.432739   -0.444931  0.00221049
          15   -0.432363   -0.444093  0.00222188
          16   -0.441092   -0.443905  0.00208683
          17   -0.431001   -0.443146  0.00210207
          18   -0.437054   -0.442808  0.00201055
          19   -0.427414   -0.441998  0.00206718
          20   -0.442671   -0.442031  0.00196139
          21   -0.457356   -0.442761   0.0020033
          22   -0.451789   -0.443172  0.00195366
          23   -0.431708   -0.442673  0.00193217
          24   -0.447897   -0.442891  0.00186268
          25   -0.420786   -0.442007  0.00199344
          26   -0.438685   -0.441879   0.0019195
          27   -0.435376   -0.441638  0.00186267
          28    -0.44661   -0.441816  0.00180368
          29   -0.439293   -0.441729  0.00174255
          30   -0.445338   -0.441849  0.00168775
          31   -0.456368   -0.442317  0.00169826
          32   -0.444736   -0.442393  0.00164607
          33    -0.45051   -0.442639  0.00161427
          34   -0.442093   -0.442623  0.00156615
          35   -0.454096   -0.442951  0.00155568
          36   -0.446482   -0.443049  0.00151503
          37   -0.431413   -0.442734   0.0015067
          38   -0.436486    -0.44257   0.0014757
          39   -0.435051   -0.442377  0.00145023
          40   -0.447498   -0.442505   0.0014193
          41   -0.449166   -0.442667  0.00139375
          42   -0.450961   -0.442865  0.00137442
          43   -0.437924    -0.44275  0.00134699
          44   -0.431879   -0.442503  0.00133901
          45   -0.448968   -0.442647  0.00131678
          46   -0.460133   -0.443027  0.00134277
          47   -0.444776   -0.443064  0.00131442
          48   -0.447129   -0.443149  0.00128953
          49   -0.445446   -0.443196   0.0012638
          50   -0.462824   -0.443588  0.00129901
          51   -0.447773    -0.44367  0.00127593
          52   -0.438913   -0.443579  0.00125449
          53   -0.442961   -0.443567  0.00123065
          54   -0.442406   -0.443546  0.00120784
          55   -0.450371    -0.44367  0.00119215
          56   -0.444403   -0.443683  0.00117074
          57   -0.429286    -0.44343  0.00117743
          58   -0.441449   -0.443396  0.00115745
          59   -0.444784    -0.44342  0.00113791
          60   -0.442628   -0.443406  0.00111886
          61   -0.444905   -0.443431  0.00110064
          62   -0.454271   -0.443606  0.00109677
          63   -0.438906   -0.443531  0.00108179
          64   -0.429493   -0.443312  0.00108712
          65   -0.448652   -0.443394  0.00107341
          66   -0.431915    -0.44322  0.00107123
          67   -0.444492   -0.443239  0.00105529
          68    -0.44574   -0.443276  0.00104031
          69   -0.444095   -0.443288  0.00102519
          70   -0.444949   -0.443311  0.00101072
          71   -0.455889   -0.443489  0.00101201
          72   -0.433694   -0.443352  0.00100708
          73   -0.447008   -0.443403 0.000994451
          74    -0.43212    -0.44325   0.0009927
          75   -0.444522   -0.443267 0.000979521
          76   -0.450118   -0.443357 0.000970741
          77   -0.445331   -0.443383 0.000958394
          78   -0.451905   -0.443492 0.000952315
          79   -0.440899   -0.443459 0.000940756
          80   -0.441325   -0.443433 0.000929305
          81   -0.438207   -0.443368 0.000920026
          82   -0.454758   -0.443507  0.00091929
          83   -0.429915   -0.443343 0.000922793
          84   -0.444901   -0.443362  0.00091193
          85   -0.434252   -0.443255 0.000907489
          86   -0.434858   -0.443157 0.000902173
          87   -0.443349   -0.443159 0.000891746
          88   -0.436597   -0.443085 0.000884702
          89   -0.436735   -0.443013  0.00087761
          90   -0.439583   -0.442975 0.000868641
          91    -0.46705    -0.44324 0.000898858
          92   -0.461327   -0.443436 0.000910513
          93   -0.455073   -0.443561 0.000909319
          94    -0.45953   -0.443731 0.000915493
          95   -0.445154   -0.443746 0.000905929
          96    -0.43845   -0.443691 0.000898138
          97   -0.442627    -0.44368 0.000888899
          98   -0.449974   -0.443744 0.000882123
          99    -0.44393   -0.443746 0.000873169
         100   -0.431819   -0.443627 0.000872583
