#     BLOCK:   ACTUAL_E:     E_AVE:       ERROR:
           1    -0.24921    -0.24921           0
           2   -0.242071    -0.24564  0.00356957
           3   -0.295826   -0.262369   0.0168553
           4   -0.204386   -0.247873   0.0187663
           5   -0.256768   -0.249652   0.0146448
           6   -0.172139   -0.236733   0.0176033
           7    -0.28642   -0.243831   0.0164841
           8   -0.264257   -0.246385   0.0145021
           9   -0.266339   -0.248602   0.0129804
          10   -0.241494   -0.247891   0.0116318
          11   -0.257771   -0.248789   0.0105596
          12   -0.279468   -0.251346  0.00997281
          13   -0.265498   -0.252434  0.00923802
          14   -0.262752   -0.253171  0.00858443
          15   -0.254255   -0.253243    0.007992
          16   -0.222979   -0.251352  0.00771142
          17   -0.258509   -0.251773  0.00725584
          18   -0.261681   -0.252323  0.00686298
          19   -0.206018   -0.249886  0.00693412
          20   -0.250545   -0.249919  0.00657837
          21   -0.231468   -0.249041  0.00631866
          22   -0.248118   -0.248999  0.00602475
          23   -0.256787   -0.249337   0.0057668
          24    -0.23138   -0.248589  0.00557176
          25   -0.234058   -0.248008  0.00537576
          26   -0.257796   -0.248384  0.00517856
          27   -0.245775   -0.248288  0.00498401
          28   -0.260011   -0.248706  0.00482093
          29   -0.245382   -0.248592  0.00465313
          30   -0.259294   -0.248948  0.00450948
          31   -0.283109    -0.25005  0.00449864
          32   -0.259298   -0.250339  0.00436536
          33   -0.284591   -0.251377  0.00435646
          34   -0.260984    -0.25166  0.00423583
          35   -0.253111   -0.251701  0.00411323
          36    -0.24608   -0.251545  0.00400039
          37   -0.286482   -0.252489  0.00400371
          38   -0.250736   -0.252443   0.0038972
          39   -0.192037   -0.250894  0.00409979
          40   -0.255843   -0.251018   0.0039979
          41   -0.269203   -0.251462  0.00392431
          42   -0.229145    -0.25093  0.00386642
          43   -0.204748   -0.249856  0.00392523
          44    -0.29238   -0.250823  0.00395488
          45   -0.219763   -0.250133  0.00392712
          46   -0.269497   -0.250554   0.0038638
          47   -0.242021   -0.250372  0.00378506
          48   -0.276576   -0.250918  0.00374536
          49   -0.207401    -0.25003  0.00377411
          50    -0.22938   -0.249617  0.00372085
          51   -0.227726   -0.249188  0.00367233
          52   -0.236999   -0.248953  0.00360864
          53   -0.252249   -0.249015  0.00354044
          54   -0.258186   -0.249185  0.00347841
          55   -0.205144   -0.248384  0.00350721
          56   -0.230468   -0.248064  0.00345884
          57   -0.246663    -0.24804  0.00339771
          58   -0.244289   -0.247975  0.00333924
          59   -0.266616   -0.248291  0.00329732
          60   -0.267826   -0.248617  0.00325821
          61   -0.256824   -0.248751  0.00320718
          62   -0.269598   -0.249088  0.00317289
          63   -0.246801   -0.249051  0.00312233
          64   -0.223279   -0.248649  0.00309943
          65     -0.2651   -0.248902  0.00306185
          66   -0.270555    -0.24923   0.0030329
          67    -0.29264   -0.249878  0.00305674
          68   -0.261552   -0.250049  0.00301635
          69   -0.247449   -0.250012  0.00297255
          70    -0.25373   -0.250065  0.00293026
          71    -0.24122    -0.24994  0.00289138
          72   -0.273483   -0.250267  0.00286962
          73   -0.221503   -0.249873  0.00285734
          74   -0.257089   -0.249971  0.00282015
          75   -0.244801   -0.249902  0.00278315
          76   -0.237784   -0.249742  0.00275091
          77   -0.191888   -0.248991  0.00281699
          78   -0.273756   -0.249308  0.00279871
          79   -0.217353   -0.248904  0.00279251
          80   -0.261779   -0.249065  0.00276207
          81    -0.25546   -0.249144   0.0027289
          82   -0.284583   -0.249576  0.00272985
          83   -0.215581   -0.249166  0.00272768
          84   -0.291245   -0.249667  0.00274117
          85   -0.268717   -0.249891  0.00271799
          86   -0.262047   -0.250033  0.00268991
          87     -0.2241   -0.249735  0.00267547
          88   -0.235339   -0.249571  0.00264995
          89   -0.241512   -0.249481  0.00262157
          90   -0.246687    -0.24945  0.00259246
          91   -0.253034   -0.249489  0.00256412
          92   -0.217189   -0.249138  0.00256028
          93   -0.239278   -0.249032  0.00253482
          94   -0.305062   -0.249628  0.00257758
          95   -0.229996   -0.249421  0.00255866
          96   -0.234425   -0.249265  0.00253668
          97   -0.252759   -0.249301  0.00251065
          98   -0.247139   -0.249279    0.002485
          99   -0.229112   -0.249075  0.00246819
         100   -0.243564    -0.24902    0.002444
