#         T:            mu:         sigma:             H:           err:
           2       0.365139        1.11082      -0.124506      0.0166445
        1.98       0.562137        1.21286       0.308478      0.0326597
      1.9602       0.408711       0.977611      -0.251968      0.0102235
      1.9406        1.09609       0.546688     -0.0751255     0.00789874
     1.92119       0.395472       0.976394      -0.252846     0.00749288
     1.90198      0.0449362       0.896872      -0.205169     0.00511727
     1.88296        1.04181       0.493289     -0.0672328     0.00538773
     1.86413        1.06722       0.304484        1.31261      0.0235733
     1.84549       0.635803        1.19666       0.326474      0.0373167
     1.82703        1.11573       0.658853      0.0409209      0.0130854
     1.80876       0.135026       0.978109      -0.255731     0.00617427
     1.79068      0.0176702        1.51612        1.32375      0.0655563
     1.77277        0.12694        0.89337      -0.208118     0.00547864
     1.75504        1.31717       0.764648        1.47062      0.0387844
     1.73749       0.291815       0.597413       0.149915     0.00708352
     1.72012       0.359883       0.532264       0.159081      0.0068981
     1.70292       0.391632       0.319738       0.739144      0.0146838
     1.68589      0.0314409       0.941223      -0.228844      0.0066022
     1.66903       0.954975        1.36767        2.65754      0.0974096
     1.65234       0.210001        1.62684        2.28724       0.109989
     1.63581       0.573474       0.851824      -0.275833     0.00859897
     1.61946        1.08054       0.499412      -0.020509     0.00668774
     1.60326        0.25006       0.862907      -0.218405     0.00497996
     1.58723       0.827031       0.689678      -0.406599     0.00500632
     1.57136        1.17695       0.623093       0.195998      0.0152172
     1.55564       0.520698        1.27509       0.462803      0.0396462
     1.54009         0.3031        1.11743      -0.150013      0.0167615
     1.52469       0.755971        1.59613        3.50312       0.124798
     1.50944       0.549608        1.19224       0.178931      0.0247605
     1.49434       0.488527        1.51524        1.77629      0.0798638
      1.4794        1.00553       0.573943      -0.262061     0.00424068
     1.46461        1.05211       0.549961      -0.147073     0.00509675
     1.44996       0.721816        1.12425       0.322463      0.0288415
     1.43546       0.620988         1.0286     -0.0383884      0.0264036
     1.42111       0.766743        1.29526        1.27843      0.0665738
      1.4069       0.464846       0.734986      -0.228931     0.00462571
     1.39283       0.347218        0.56225       0.121086      0.0071501
      1.3789       0.905134       0.857596     -0.0713865      0.0148186
     1.36511        1.20788       0.632856       0.358068      0.0166994
     1.35146       0.486027        1.27154       0.426919      0.0373039
     1.33794       0.660675         1.2489       0.638463      0.0488222
     1.32456        0.58667        1.09721    -0.00644656      0.0217279
     1.31132       0.759198       0.930173      -0.113541      0.0167508
     1.29821       0.863443        1.13563       0.742325      0.0394166
     1.28522       0.231797       0.760153      -0.102992     0.00551571
     1.27237        1.34979       0.312885        1.70787       0.022765
     1.25965       0.957064        0.53331      -0.286565     0.00386614
     1.24705       0.558494        1.42892        1.35417      0.0612648
     1.23458        0.50057       0.701536      -0.238389      0.0040028
     1.22223       0.901962        1.13514       0.960442      0.0480175
     1.21001       0.662734        1.17098       0.348686      0.0409824
     1.19791       0.444835       0.393893       0.259972      0.0097776
     1.18593       0.114207       0.663818       0.130935     0.00715286
     1.17407        1.18212       0.660668       0.315394      0.0140299
     1.16233       0.592317        1.25962       0.514701      0.0320792
     1.15071       0.580983       0.696123      -0.315948     0.00367615
      1.1392        1.05959       0.947325       0.754605      0.0314305
     1.12781       0.337166       0.943293      -0.265605     0.00620982
     1.11653       0.160985        1.40103       0.570176      0.0495006
     1.10537        1.47613       0.719959        2.63545       0.053102
     1.09431       0.467942        1.05784      -0.140433       0.014512
     1.08337      0.0374514        0.54094       0.537166      0.0106566
     1.07254       0.574943       0.861425      -0.268633     0.00856729
     1.06181       0.369281       0.938561      -0.254328     0.00775964
     1.05119         1.3246       0.863643        2.02003      0.0484978
     1.04068        1.17016       0.548186        0.14149      0.0101383
     1.03027       0.577302       0.378806       0.329658      0.0124672
     1.01997      0.0579215       0.994539      -0.247146      0.0070274
     1.00977        0.51115       0.455635     -0.0237394     0.00833034
    0.999674     0.00866489        1.11567      -0.208447      0.0137518
    0.989677       0.340922       0.718457      -0.111047     0.00543754
    0.979781       0.229528       0.984895      -0.256803     0.00672405
    0.969983         0.4386        1.79294        4.57587       0.166806
    0.960283       0.948809        1.02168       0.543183      0.0266849
     0.95068       0.629587       0.833789      -0.291532     0.00811472
    0.941173       0.904054       0.785589      -0.219117      0.0108923
    0.931762       0.892219       0.775146      -0.223975      0.0117674
    0.922444       0.745809        1.02892      0.0910526      0.0213857
    0.913219       0.255456       0.914648      -0.244651     0.00521971
    0.904087       0.868056       0.965541       0.196434      0.0262937
    0.895046        0.84639        1.12914       0.779244      0.0440199
    0.886096       0.697799       0.625429      -0.410663     0.00219614
    0.877235        0.70045       0.594731      -0.410561     0.00259965
    0.868463      0.0693102        1.20067     -0.0618332      0.0219345
    0.859778       0.950174       0.471251      -0.103306      0.0069102
     0.85118       0.526769        1.17502       0.138391      0.0280481
    0.842668       0.432297       0.999614       -0.20899      0.0149974
    0.834242       0.317509        1.24553      0.0975144      0.0272793
    0.825899       0.577864       0.816528      -0.292229     0.00833851
     0.81764       0.447498        1.15512     0.00867049      0.0242308
    0.809464        1.03203       0.909107       0.517971      0.0305948
    0.801369        0.45831       0.632498      -0.141377      0.0046254
    0.793356       0.388834       0.918585      -0.264593     0.00579481
    0.785422       0.225372        1.52116         1.3554      0.0758739
    0.777568       0.414355        0.76538      -0.208554     0.00399784
    0.769792       0.666716       0.458372      -0.140329     0.00861696
    0.762094       0.657477       0.607708       -0.37359     0.00280716
    0.754473       0.302181        0.87265      -0.227616      0.0055796
    0.746929       0.374269           1.15     -0.0284642       0.024551
    0.739459      0.0361226       0.582161       0.407864     0.00836326
    0.732065        1.38032       0.500705        1.01297      0.0155416
    0.724744       0.950988        0.61474      -0.354072     0.00430956
    0.717497       0.150755        1.10677       -0.18844      0.0152273
    0.710322       0.800325       0.872107      -0.154468      0.0145333
    0.703218       0.399908       0.506415       0.127405     0.00643328
    0.696186     0.00157479        1.25098      0.0649228      0.0214243
    0.689224       0.566118       0.774071      -0.303736     0.00407825
    0.682332      0.0651776       0.930535      -0.232293     0.00657297
    0.675509        1.24952       0.844038        1.36592      0.0359294
    0.668754       0.606943        0.76418      -0.327309     0.00377299
    0.662066       0.644721       0.734397      -0.352434     0.00423217
    0.655446       0.439223       0.837926      -0.254647     0.00529769
    0.648891       0.611247       0.815337      -0.315034     0.00604128
    0.642402      0.0272492        1.13259      -0.188404      0.0148387
    0.635978       0.741759       0.790764       -0.32778     0.00674177
    0.629618       0.400028       0.937276      -0.254764     0.00766314
    0.623322       0.568175       0.745889      -0.310396     0.00469129
    0.617089       0.869551       0.712209       -0.36151     0.00636609
    0.610918       0.162098         1.3956       0.664463      0.0492834
    0.604809       0.684316       0.603481      -0.397376      0.0025734
    0.598761       0.739328       0.970477     -0.0543306      0.0165151
    0.592773       0.405725       0.854487      -0.257221     0.00515685
    0.586845       0.452237        1.13911    0.000837722      0.0238271
    0.580977       0.858074       0.693172      -0.384385     0.00713308
    0.575167       0.154959        1.14609      -0.168695      0.0136768
    0.569416       0.458074       0.939462       -0.26342     0.00714471
    0.563721      0.0225309       0.572656       0.443087     0.00717692
    0.558084       0.171686        0.91407      -0.228369     0.00563985
    0.552503       0.452743       0.694226      -0.195701     0.00463819
    0.546978       0.546772       0.391193       0.220553      0.0118149
    0.541509        1.01398       0.608983      -0.247376     0.00670825
    0.536093        1.03278       0.928399       0.568097       0.028529
    0.530732       0.450746        1.08265      -0.111414      0.0239159
    0.525425       0.397398        1.11121      -0.102556      0.0176527
    0.520171        1.11862       0.762599       0.336717      0.0199242
    0.514969       0.581224       0.950504       -0.20703      0.0126305
     0.50982         1.4151       0.268497        2.79758      0.0282533
    0.504721       0.787458       0.855531      -0.195207      0.0141605
    0.499674       0.608511       0.756186      -0.325514     0.00436946
    0.494677        1.10008       0.470419      0.0778856     0.00645647
    0.489731        0.24164        1.00512      -0.250487      0.0093523
    0.484833       0.728389       0.803622      -0.305608     0.00909512
    0.479985        1.02586       0.608232      -0.233587     0.00693117
    0.475185       0.526442       0.897007      -0.269296     0.00789585
    0.470433       0.278082       0.916248       -0.23897     0.00637389
    0.465729       0.785095       0.540709      -0.390617     0.00412936
    0.461072       0.110564        1.05965      -0.231757     0.00963827
    0.456461      0.0111094        1.29997       0.127549      0.0209141
    0.451896       0.527631       0.816674      -0.294527     0.00495452
    0.447377        0.73647       0.820486      -0.287822     0.00914746
    0.442904       0.776587       0.722713      -0.393059     0.00463871
    0.438475        1.15273       0.401499       0.451818     0.00966125
     0.43409       0.209905          1.095      -0.216188      0.0115867
    0.429749       0.842116       0.617443      -0.440905     0.00249559
    0.425451       0.891311       0.596703      -0.403001     0.00379634
    0.421197        0.35822       0.296616       0.944835      0.0170841
    0.416985       0.269311        1.11494      -0.140132       0.019618
    0.412815       0.630232       0.742679      -0.334029     0.00504322
    0.408687       0.307808       0.995768      -0.249589     0.00911072
      0.4046       0.446879       0.992048      -0.209196      0.0130779
    0.400554       0.694783       0.863707      -0.262186     0.00993829
    0.396549       0.210685        1.05802      -0.232165       0.011163
    0.392583      0.0627105         1.3192       0.188866      0.0316416
    0.388657       0.348247       0.795029      -0.196853     0.00460506
    0.384771       0.357654        1.23342       0.123018      0.0278693
    0.380923      0.0404652         1.3266       0.287342       0.026863
    0.377114       0.748693        1.12532       0.382056      0.0321813
    0.373343       0.403135        1.03621      -0.190605      0.0130371
    0.369609       0.227314       0.968584      -0.246613     0.00666637
    0.365913        0.90862       0.678163      -0.361247     0.00585528
    0.362254        0.29587       0.587361        0.14084     0.00715574
    0.358631       0.356329       0.934003      -0.246797     0.00747665
    0.355045       0.755678       0.644541      -0.434675     0.00207606
    0.351495       0.940777        0.50031      -0.211902     0.00489219
     0.34798       0.385516       0.826999      -0.228911     0.00447694
      0.3445      0.0233627        1.03829      -0.242998      0.0102299
    0.341055       0.531361        1.07266      -0.065044       0.016674
    0.337644       0.824603       0.523616      -0.348404     0.00452386
    0.334268       0.254565       0.491523       0.465448      0.0090137
    0.330925       0.507536       0.691467      -0.243776     0.00476012
    0.327616       0.382933       0.839971      -0.228878     0.00656005
     0.32434       0.700073       0.639065       -0.40625     0.00284799
    0.321096       0.502856       0.888206      -0.273159     0.00705094
    0.317885       0.770644       0.442727     -0.0427374     0.00837514
    0.314707       0.470353       0.511585     -0.0389469     0.00566842
    0.311559       0.747866       0.820252      -0.285933     0.00960598
    0.308444       0.101359       0.799901      -0.115212     0.00554085
    0.305359       0.151926        0.78655      -0.105823     0.00548521
    0.302306       0.702641       0.802718      -0.316699     0.00833207
    0.299283       0.349632       0.296041       0.981695      0.0168634
     0.29629       0.979837       0.505511      -0.187786     0.00519704
    0.293327       0.859752       0.728998      -0.336191     0.00763981
    0.290394       0.301136       0.526438       0.283218     0.00703512
     0.28749       0.180501        1.17825     -0.0995808      0.0201077
    0.284615       0.935364       0.533724      -0.298091      0.0036598
    0.281769       0.698515        1.04707      0.0306504      0.0216079
    0.278951       0.323554       0.745003      -0.135503      0.0055366
    0.276162       0.957653       0.691093      -0.276161     0.00788895
      0.2734       0.781558       0.615812      -0.442564     0.00290285
    0.270666       0.898958       0.720161      -0.288251      0.0095305
    0.267959       0.979193       0.619159      -0.313379     0.00571529
     0.26528        1.04664       0.414339        0.26521     0.00984867
    0.262627       0.262574        1.05082      -0.209408      0.0133646
    0.260001       0.396369        1.17399      0.0409526      0.0235315
    0.257401       0.133237       0.811477      -0.136211     0.00542233
    0.254827       0.200207         1.3564       0.411506       0.041531
    0.252278      0.0115535        1.06544      -0.235106      0.0104285
    0.249756      0.0429146       0.772106     -0.0711872     0.00550628
    0.247258       0.653823       0.863578      -0.275316     0.00888375
    0.244785       0.458659       0.885967      -0.263919     0.00669998
    0.242338       0.935132       0.593701      -0.370932     0.00383407
    0.239914       0.705158       0.702106      -0.386244     0.00412852
    0.237515       0.546059       0.524253      -0.181455     0.00475033
     0.23514       0.406549       0.585592    -0.00987625     0.00548448
    0.232789       0.176367       0.833724      -0.158935     0.00489768
    0.230461       0.223707        1.11661      -0.167033      0.0141262
    0.228156       0.618007        1.01936      -0.100873      0.0184836
    0.225875        1.04624       0.816118       0.181486      0.0163514
    0.223616       0.500486        1.09855       -0.03515      0.0226668
     0.22138        0.60699       0.737212      -0.326389     0.00447756
    0.219166       0.647421       0.749314      -0.347803     0.00428489
    0.216974       0.218177       0.978798      -0.253131     0.00670264
    0.214804       0.607432       0.824944      -0.297309     0.00753374
    0.212656       0.735751       0.828451      -0.285104     0.00923473
     0.21053        0.55225       0.870701      -0.285127     0.00636147
    0.208425       0.755566       0.662195      -0.431041     0.00323022
     0.20634       0.708093       0.617451      -0.414824     0.00238261
    0.204277       0.507086       0.831911      -0.281139     0.00486198
    0.202234       0.447433       0.695788      -0.182834     0.00455131
    0.200212       0.626346       0.528271      -0.292222     0.00489183
     0.19821       0.999853       0.637457       -0.27734     0.00564144
    0.196228       0.547026       0.815394      -0.282818     0.00815294
    0.194265       0.550298       0.903887      -0.268001     0.00862092
    0.192323       0.362031        1.17283      -0.028757      0.0177534
    0.190399       0.650047       0.694821      -0.363052     0.00425153
    0.188495       0.653113       0.746943      -0.344539     0.00454735
     0.18661        0.83479       0.589618      -0.434411     0.00303308
    0.184744     0.00782843       0.793604     -0.0927736     0.00592062
    0.182897       0.435347       0.540357    -0.00459198     0.00560127
    0.181068        0.84942       0.628758      -0.432682       0.003262
    0.179257       0.710265       0.670003      -0.402557      0.0041504
    0.177465       0.633974       0.550997      -0.317698     0.00421998
     0.17569       0.251482        1.05571      -0.236385      0.0111119
    0.173933        0.14795        1.05221      -0.225396      0.0112116
    0.172194       0.466631        0.84062      -0.275513     0.00559061
    0.170472       0.451707       0.615283      -0.128298     0.00514061
    0.168767       0.295948        0.99715      -0.243928     0.00958276
    0.167079      0.0859399        1.13687       -0.17453      0.0277538
    0.165409       0.228985       0.880657      -0.214308     0.00542994
    0.163755       0.130664       0.988617      -0.252735     0.00738443
    0.162117       0.186896         1.1318      -0.172364      0.0124347
    0.160496       0.712793       0.850552      -0.278446      0.0095198
    0.158891       0.890803       0.733325      -0.295835     0.00842562
    0.157302       0.807475        0.76408      -0.325347     0.00967571
    0.155729       0.501173       0.897733      -0.268733     0.00772593
    0.154172       0.750826       0.613671      -0.435543     0.00231064
     0.15263       0.656899       0.889305      -0.246502      0.0108754
    0.151104       0.761592       0.870409      -0.185698      0.0132706
    0.149593       0.359637        1.14074     -0.0536663       0.020359
    0.148097       0.836942       0.712847      -0.367802     0.00701224
    0.146616       0.774131        0.59333       -0.43519     0.00221291
     0.14515       0.508049       0.629461      -0.205967     0.00391096
    0.143698       0.636588       0.708442       -0.35303      0.0038143
    0.142261       0.746255       0.495268      -0.289911     0.00758609
    0.140838       0.703871       0.667332      -0.405722     0.00263121
     0.13943       0.926281       0.580064      -0.373148     0.00331502
    0.138036       0.744004       0.697765      -0.405695      0.0047456
    0.136655       0.678426       0.688024      -0.380318     0.00318466
    0.135289       0.450215        1.14544     -0.0193032      0.0235845
    0.133936       0.481532       0.728405      -0.239654     0.00396358
