#     GEN:            L2:          <L2>:
         1        44.2059        55.4016
         2        41.3279        49.6387
         3        35.9111        44.8533
         4        30.9449         40.769
         5        30.8444         35.978
         6        30.8104        32.5101
         7        25.2974        31.3814
         8        25.1641        30.2599
         9        22.0168        28.1937
        10        20.4407        26.1602
        11        19.9691        24.4772
        12        19.9691        22.6247
        13        19.9691         21.833
        14        19.4898        20.4178
        15         18.817        19.9383
        16         17.903        19.6098
        17         17.903        19.1995
        18         17.557        19.0392
        19        17.4243        18.3135
        20        17.4243        17.8967
        21        17.1024        17.5656
        22        15.8433        17.4485
        23        13.5914        17.3925
        24        12.6482        16.0914
        25        11.3582        14.1422
        26        11.3582        13.1167
        27        11.3582        12.5797
        28        11.2501        12.4487
        29         10.365        11.7824
        30         10.365        11.5383
        31        10.2569        11.5406
        32        10.1705        10.7266
        33        10.0624        10.4598
        34        9.66405         10.201
        35        9.46954        10.0429
        36        8.27075        9.76784
        37        8.27075        9.40999
        38        8.16687        8.87703
        39         7.2765         8.5864
        40        7.25744        8.09327
        41        6.46523        7.64134
        42        6.44618        7.21789
        43        6.43985        6.80808
        44        6.03002        6.53958
        45        5.99793         6.3957
        46        5.99793        6.37855
        47        5.93043        6.62243
        48        5.45024         6.4305
        49        5.41823        7.01642
        50        5.41823         6.8684
        51        5.41823        7.39431
        52        5.41823        8.25368
        53        5.41823        6.76347
        54         5.0492        6.25471
        55         5.0492         6.6831
        56         5.0492        5.76867
        57        4.98957        5.38005
        58        4.98957        5.30225
        59        4.65408        5.04729
        60        4.65408        4.96947
        61        4.62802        4.93786
        62        4.15804        4.72889
        63        4.09842        4.56536
        64        4.09842        4.32918
        65        4.09842        4.29278
        66        4.05048        4.13789
        67        3.70082        4.08539
        68        3.70082        4.02697
        69        3.70082         4.2585
        70        3.70082        5.16579
        71        3.70082        4.86034
        72        3.61903        4.10515
        73        3.30973         4.1592
        74        3.30973        4.65862
        75        3.30973        5.23145
        76        3.30973        4.88135
        77        3.30973        4.81553
        78        3.21579        3.71726
        79        3.21316        3.40378
        80        3.20734        3.25997
        81        3.20734        3.22795
        82        3.14883        3.20936
        83        3.04381        3.18769
        84        3.04381        3.14287
        85        3.04381        3.07985
        86        2.99428        3.04447
        87        2.99428        3.03393
        88        2.99165        3.00987
        89        2.99165        2.99814
        90        2.99165         2.9925
        91        2.99165        2.99165
        92        2.99165        2.99165
        93        2.99165        2.99165
        94        2.91567        2.99089
        95        2.76867        2.96967
        96        2.69269        2.90861
        97        2.69269        2.84997
        98        2.69269        3.24945
        99        2.69269        3.39855
       100        2.69269        3.30009
       101        2.69269        3.43737
       102        2.53185        2.99665
       103        2.53185        2.72596
       104        2.53185        2.60773
       105        2.53185        2.54241
       106        2.53185        2.53185
       107         2.5296        2.53182
       108         2.5296        2.53151
       109         2.5211        2.53055
       110        2.46219        2.52725
       111        2.45369        2.51434
       112        2.45369        2.48087
       113        2.41703        2.46002
       114        2.41703        2.45042
       115        2.40853        2.43508
       116        2.40853        2.41625
       117        2.40853        2.40955
       118        2.40853        2.40853
       119        2.40853        2.40853
       120        2.40853        2.40853
       121        2.40853        2.40853
       122        2.40853        2.40853
       123        2.40853        2.40853
       124        2.40853        2.40853
       125        2.40853        2.40853
       126        2.40853        2.40853
       127        2.40853        2.40853
       128        2.40317        2.40848
       129        2.40317        2.40746
       130        2.40317        2.40579
       131        2.40317        2.40413
       132        2.40152        2.40369
       133        2.40152        2.40287
       134        2.40152        2.40219
       135        2.40152        2.40164
       136        2.40152        2.40152
       137        2.40152        2.40152
       138        2.40152        2.40152
       139        2.40152        2.40152
       140        2.40152        2.40152
       141        2.40152        2.40152
       142        2.40152        2.40152
       143        2.40152        2.40152
       144        2.40152        2.40152
       145        2.40152        2.40152
       146        2.40152        2.40152
       147        2.40152        2.40152
       148        2.39643        2.40147
       149         2.3016        2.39971
       150        2.29388        2.38178
       151        2.29388         2.3334
       152        2.20584        2.30399
       153          2.111        2.28417
       154        2.10592         2.2345
       155        2.10592        2.15467
       156        2.10592         2.1079
       157        2.10592        2.10648
       158        2.10592        2.10592
       159        2.10592        2.10592
       160        2.10592        2.10592
       161        2.10592        2.10592
       162        2.10592        2.10592
       163        2.10592        2.10592
       164        2.10592        2.10592
       165        2.10592        2.10592
       166        2.10592        2.10592
       167        2.10592        2.10592
       168        2.10592        2.10592
       169        2.10592        2.10592
       170        2.10592        2.10592
       171        2.10592        2.10592
       172        2.10592        2.10592
       173        2.10592        2.10592
       174        2.10592        2.10592
       175        2.10592        2.10592
       176        2.10592        2.10592
       177        2.10592        2.10592
       178        2.10592        2.10592
       179        2.10592        2.10592
       180        2.10592        2.10592
       181        2.10592        2.10592
       182        2.10592        2.10592
       183        2.10592        2.10592
       184        2.10592        2.10592
       185        2.10592        2.10592
       186        2.10592        2.10592
       187        2.10592        2.10592
       188        2.10592        2.10592
       189        2.10592        2.10592
       190        2.10592        2.10592
       191        2.10592        2.10592
       192        2.10592        2.10592
       193        2.10592        2.10592
       194        2.10592        2.10592
       195        2.10592        2.10592
       196        2.10592        2.10592
       197        2.10592        2.10592
       198        2.10363        2.10589
       199        2.10363        2.10544
       200        2.10096        2.10449
       201        2.10096        2.10352
       202        2.10096        2.10227
       203        2.10096        2.10123
       204        2.10096        2.10096
       205        2.10096        2.10096
       206        2.10096        2.10096
       207        2.10096        2.10096
       208        2.10096        2.10096
       209        2.10096        2.10096
       210        2.10096        2.10096
       211        2.10096        2.10096
       212        2.10096        2.10096
       213        2.10096        2.10096
       214        2.10096        2.10096
       215        2.10096        2.10096
       216        2.10096        2.10096
       217        2.10096        2.10096
       218        2.10096        2.10096
       219        2.10096        2.10096
       220        2.10096        2.10096
       221        2.10096        2.10096
       222        2.10096        2.10096
       223        2.10096        2.10096
       224        2.10096        2.10096
       225        2.10096        2.10096
       226        2.10096        2.10096
       227        2.10096        2.10096
       228        2.10096        2.10096
       229        2.10096        2.10096
       230        2.10096        2.10096
       231        2.10096        2.10096
       232        2.10096        2.10096
       233        2.10096        2.10096
       234        2.10096        2.10096
       235        2.10096        2.10096
       236        2.10096        2.10096
       237        2.10096        2.10096
       238        2.10096        2.10096
       239        2.10096        2.10096
       240        2.10096        2.10096
       241        2.10096        2.10096
       242        2.10096        2.10096
       243        2.10096        2.10096
       244        2.10096        2.10096
       245        2.10096        2.10096
       246        2.10096        2.10096
       247        2.10096        2.10096
       248        2.10096        2.10096
       249        2.10096        2.10096
       250        2.10096        2.10096
       251        2.10096        2.10096
       252        2.10096        2.10096
       253        2.10096        2.10096
       254        2.10096        2.10096
       255        2.10096        2.10096
       256        2.10096        2.10096
       257        2.10096        2.10096
       258        2.10096        2.10096
       259        2.10096        2.10096
       260        2.10096        2.10096
       261        2.10096        2.10096
       262        2.10096        2.10096
       263        2.10096        2.10096
       264        2.10096        2.10096
       265        2.10096        2.10096
       266        2.10096        2.10096
       267        2.10096        2.10096
       268        2.10096        2.10096
       269        2.10096        2.10096
       270        2.10096        2.10096
       271        2.10096        2.10096
       272        2.10096        2.10096
       273        2.10096        2.10096
       274        2.10096        2.10096
       275        2.10096        2.10096
       276        2.10096        2.10096
       277        2.10096        2.10096
       278        2.10096        2.10096
       279        2.10096        2.10096
       280        2.10096        2.10096
       281        2.10096        2.10096
       282        2.10096        2.10096
       283        2.10096        2.10096
       284        2.10096        2.10096
       285        2.10096        2.10096
       286        2.10096        2.10096
       287        2.10096        2.10096
       288        2.10096        2.10096
       289        2.10096        2.10096
       290        2.10096        2.10096
       291        2.10096        2.10096
       292        2.10096        2.10096
       293        2.10096        2.10096
       294        2.10096        2.10096
       295        2.10096        2.10096
       296        2.10096        2.10096
       297        2.10096        2.10096
       298        2.10096        2.10096
       299        2.10096        2.10096
       300        2.10096        2.10096
       301        2.10096        2.10096
       302        2.10096        2.10096
       303        2.10096        2.10096
       304        2.10096        2.10096
       305        2.10096        2.10096
       306        2.10096        2.10096
       307        2.10096        2.10096
       308        2.10096        2.10096
       309        2.10096        2.10096
       310        2.10096        2.10096
       311        2.10096        2.10096
       312        2.10096        2.10096
       313        2.10096        2.10096
       314        2.10096        2.10096
       315        2.10096        2.10096
       316        2.10096        2.10096
       317        2.10096        2.10096
       318        2.10096        2.10096
       319        2.10096        2.10096
       320        2.10096        2.10096
       321        2.10096        2.10096
       322        2.10096        2.10096
       323        2.10096        2.10096
       324        2.10096        2.10096
       325        2.10096        2.10096
       326        2.10096        2.10096
       327        2.10096        2.10096
       328        2.10096        2.10096
       329        2.10096        2.10096
       330        2.10096        2.10096
       331        2.10096        2.10096
       332        2.10096        2.10096
       333        2.10096        2.10096
       334        2.10096        2.10096
       335        2.10096        2.10096
       336        2.10096        2.10096
       337        2.10096        2.10096
       338        2.10096        2.10096
       339        2.10096        2.10096
       340        2.10096        2.10096
