#     GEN:            L2:          <L2>:
         1        8.14397        10.3542
         2        7.59366         9.3849
         3        6.98924        8.50906
         4        6.98924        7.88302
         5        6.79637        7.59041
         6        6.40399        7.08796
         7        6.40399        6.90036
         8        6.09532         6.7383
         9        5.81176        6.49599
        10         5.3437        6.31481
        11        5.20257        6.03701
        12        5.07981        5.69807
        13        5.00981         5.5491
        14        5.00981        5.29043
        15        4.76509        5.13787
        16        4.19579        5.00182
        17        4.19579         4.7582
        18        3.76966         4.4266
        19        3.57691        4.11388
        20        3.46927         3.9038
        21        3.46927        3.72802
        22        3.46927        3.62281
        23        3.46927        3.57331
        24        3.26001        3.47861
        25         3.0907        3.41999
        26         3.0907          3.314
        27        2.95305        3.16333
        28        2.91177        3.08518
        29        2.62028        3.03872
        30        2.62028        2.96572
        31        2.59288        2.90712
        32        2.59288         2.7379
        33        2.54674        2.65674
        34        2.54674        2.61172
        35        2.42357        2.58341
        36        2.39261        2.55891
        37        2.31812        2.49644
        38         2.3138        2.44944
        39        2.31184        2.49073
        40        2.31184         2.4264
        41        2.20974        2.37901
        42        2.20974        2.31485
        43        2.10169        2.25194
        44        2.10169        2.21241
        45        2.09737        2.16093
        46        2.08427        2.13056
        47        2.07995        2.09841
        48        2.00371        2.08732
        49        2.00371        2.07109
        50        1.98629        2.03407
        51        1.80471        2.00427
        52        1.78729        1.96934
        53        1.77174        1.89656
        54        1.77174        1.83473
        55        1.76107        1.83042
        56        1.76107        1.77854
        57        1.76107        1.81901
        58        1.76107        1.90058
        59        1.76107        1.86137
        60        1.69871        1.87705
        61        1.69871        1.87192
        62        1.69871        1.76432
        63        1.68225        1.76243
        64        1.68225        1.71666
        65        1.68225        1.73159
        66           1.68        1.68879
        67        1.66677        1.68839
        68        1.62702        1.70486
        69        1.59367        1.70394
        70        1.59367        1.67365
        71        1.59367        1.65424
        72        1.58907        1.61543
        73        1.58907        1.63264
        74        1.58907        1.67272
        75        1.58618        1.75713
        76        1.57764        1.79708
        77        1.43442        1.83026
        78        1.43442        1.66318
        79        1.43442        1.58508
        80        1.43442        1.45936
        81        1.43442        1.43442
        82        1.43442        1.43442
        83        1.43442        1.43442
        84        1.43442        1.43442
        85        1.43442        1.43442
        86        1.40807        1.43416
        87        1.37521        1.42882
        88         1.3566        1.40943
        89         1.3566          1.391
        90         1.3566        1.37447
        91        1.31535         1.3572
        92        1.31187        1.35473
        93        1.30043        1.33929
        94        1.25166        1.31606
        95        1.25166         1.3046
        96        1.23148        1.27215
        97        1.23148        1.28139
        98        1.23148        1.30633
        99        1.23148        1.35702
       100        1.23148        1.31428
       101        1.23148        1.32261
       102        1.23148        1.25479
       103        1.23148        1.23148
       104        1.22611        1.23143
       105        1.22611        1.23057
       106        1.22549        1.22841
       107        1.19339        1.22608
       108        1.19339        1.21941
       109        1.19339         1.2054
       110        1.19339        1.19536
       111        1.15689        1.19395
       112        1.15689         1.2042
       113        1.15689        1.21699
       114        1.15299        1.19099
       115        1.15299        1.16276
       116        1.15299        1.15463
       117        1.15299        1.15315
       118        1.15299        1.15299
       119        1.15299        1.15299
       120        1.15299        1.15299
       121        1.15299        1.15299
       122        1.15299        1.15299
       123        1.15299        1.15299
       124        1.15299        1.15299
       125        1.15299        1.15299
       126        1.15299        1.16544
       127        1.15299        1.26478
       128        1.15299        1.27261
       129        1.15299         1.2593
       130        1.15299        1.16232
       131        1.15299        1.15371
       132        1.15299        1.17212
       133        1.15299        1.15299
       134        1.15299        1.15299
       135        1.15299        1.15299
       136        1.15299        1.15299
       137        1.15299        1.15299
       138        1.15299        1.15299
       139        1.15299        1.15299
       140        1.15299        1.15299
       141        1.15299        1.15299
       142         1.1212        1.15268
       143         1.1212        1.14663
       144         1.1212        1.13328
       145         1.1212        1.12355
       146         1.1212         1.1212
       147         1.1212         1.1212
       148         1.1212         1.1212
       149         1.1212         1.1212
       150         1.1212         1.1212
       151         1.1212         1.1212
       152         1.1212         1.1212
       153         1.1212         1.1212
       154         1.1212        1.12188
       155         1.1212        1.14417
       156         1.1212        1.21089
       157         1.1212        1.29945
       158         1.1212        1.26375
       159         1.1212        1.23316
       160         1.1212        1.16639
       161        1.11909        1.12117
       162        1.11909        1.12086
       163        1.11909        1.12004
       164        1.11909        1.11937
       165        1.11909        1.11918
       166        1.11909        1.11909
       167        1.11909        1.11909
       168        1.11909        1.11909
       169        1.11909        1.11909
       170        1.11909        1.11909
       171        1.11909        1.11909
       172        1.11909        1.11909
       173        1.11909        1.21063
       174        1.11909        1.22004
       175        1.11909        1.18348
       176        1.11909         1.1507
       177        1.11909        1.12507
       178        1.11909        1.11909
       179        1.11909        1.11909
       180        1.11909        1.11909
       181        1.11909        1.11909
       182        1.11909        1.11909
       183        1.11909        1.11909
       184        1.11909        1.11909
       185        1.11909        1.11909
       186        1.11909        1.11909
       187        1.11909        1.11909
       188        1.11909        1.11909
       189        1.11909        1.11909
       190        1.11909        1.11909
       191        1.11909        1.11909
       192        1.11909        1.11909
       193        1.11909        1.11909
       194        1.11909        1.11909
       195        1.11909        1.11909
       196        1.11909        1.11909
       197        1.11909        1.11909
       198        1.11909        1.11909
       199        1.11909        1.11909
       200        1.11909        1.11909
       201        1.11909        1.11909
       202        1.11909        1.11909
       203        1.11909        1.11909
       204        1.11909        1.11909
       205        1.11909        1.11909
       206        1.11909        1.11909
       207        1.11909        1.11909
       208        1.11909        1.11909
       209        1.11909        1.11909
       210        1.11909        1.11909
       211        1.11909        1.11909
       212        1.11909        1.11909
       213        1.11909        1.11909
       214        1.11909        1.11909
       215        1.11909        1.11909
       216        1.11909        1.11909
       217        1.11909        1.11909
       218        1.11909        1.11909
       219        1.11909        1.11909
       220        1.11909        1.11909
       221        1.11909        1.11909
       222        1.11909        1.11909
       223        1.11909        1.11909
       224        1.11909        1.11909
       225        1.11909        1.11909
       226        1.11909        1.11909
       227        1.11909        1.11909
       228        1.11909        1.11909
       229        1.11909        1.11909
       230        1.11909        1.11909
       231        1.11909        1.11909
       232        1.11909        1.11909
       233        1.11909        1.11909
       234        1.11909        1.11909
       235        1.11909        1.11909
       236        1.11909        1.11909
       237        1.11909        1.11909
       238        1.11909        1.11909
       239        1.11909        1.11909
       240        1.11909        1.11909
       241        1.11909        1.11909
       242        1.11909        1.11909
       243        1.11909        1.11909
       244        1.11909        1.11909
       245        1.11909        1.11909
       246        1.11909        1.11909
       247        1.11909        1.11909
       248        1.11909        1.11909
       249        1.11909        1.11909
       250        1.11909        1.11909
       251        1.11909        1.11909
       252        1.11909        1.11909
       253        1.11909        1.11909
       254        1.11909        1.11909
       255        1.11909        1.11909
       256        1.11909        1.11909
       257        1.11909        1.11909
       258        1.11909        1.11909
       259        1.11909        1.11909
       260        1.11909        1.11909
       261        1.11909        1.11909
       262        1.11909        1.11909
       263        1.11909        1.11909
       264        1.11909        1.11909
       265        1.11909        1.11909
       266        1.11909        1.11909
       267        1.11909        1.11909
       268        1.11909        1.11909
       269        1.11909        1.11909
       270        1.11909        1.11909
       271        1.11909        1.11909
       272        1.11909        1.11909
       273        1.11909        1.11909
       274        1.11909        1.11909
       275        1.11909        1.11909
       276        1.11909        1.11909
       277        1.11909        1.11909
       278        1.11909        1.11909
       279        1.11909        1.11909
       280        1.11909        1.11909
       281        1.11909        1.11909
       282        1.11909        1.11909
       283        1.11909        1.11909
       284        1.11909        1.11909
       285        1.11909        1.11909
       286        1.11909        1.11909
       287        1.11909        1.11909
       288        1.11909        1.11909
       289        1.11909        1.11909
       290        1.11909        1.11909
       291        1.11909        1.11909
       292        1.11909        1.11909
       293        1.11909        1.11909
       294        1.11909        1.11909
       295        1.11909        1.11909
       296        1.11909        1.11909
       297        1.11909        1.11909
       298        1.11909        1.11909
       299        1.11909        1.11909
       300        1.11909        1.11909
       301        1.11909        1.11909
       302        1.11909        1.11909
       303        1.11909        1.11909
       304        1.11909        1.11909
       305        1.11909        1.11909
       306        1.11909        1.11909
       307        1.11909        1.11909
       308        1.11909        1.11909
       309        1.11909        1.11909
       310        1.11909        1.11909
       311        1.11909        1.11909
       312        1.11909        1.11909
       313        1.11909        1.11909
       314        1.11909        1.11909
       315        1.11909        1.11909
       316        1.11909        1.11909
       317        1.11909        1.11909
       318        1.11909        1.11909
       319        1.11909        1.11909
       320        1.11909        1.11909
       321        1.11909        1.11909
       322        1.11909        1.11909
       323        1.11909        1.11909
       324        1.11909        1.11909
       325        1.11909        1.11909
       326        1.11909        1.11909
       327        1.11909        1.11909
       328        1.11909        1.11909
       329        1.11909        1.11909
       330        1.11909        1.11909
       331        1.11909        1.11909
       332        1.11909        1.11909
       333        1.11909        1.11909
       334        1.11909        1.11909
       335        1.11909        1.11909
       336        1.11909        1.11909
       337        1.11909        1.11909
       338        1.11909        1.11909
       339        1.11909        1.11909
       340        1.11909        1.11909
       341        1.11909        1.11909
       342        1.11909        1.11909
       343        1.11909        1.11909
       344        1.11909        1.11909
       345        1.11909        1.11909
       346        1.11909        1.11909
       347        1.11909        1.11909
       348        1.11909        1.11909
       349        1.11909        1.11909
       350        1.11909        1.11909
       351        1.11909        1.11909
       352        1.11909        1.11909
       353        1.11909        1.11909
       354        1.11909        1.11909
       355        1.11909        1.11909
       356        1.11909        1.11909
       357        1.11909        1.11909
       358        1.11909        1.11909
       359        1.11909         1.1192
       360        1.11909        1.11909
       361        1.11909        1.11909
       362        1.11909        1.11909
       363        1.11909        1.11909
       364        1.11909        1.11909
       365        1.11909        1.11909
       366        1.11909        1.11909
       367        1.11909        1.11909
       368        1.11909        1.11909
       369        1.11909        1.11909
       370        1.11909        1.11909
       371        1.11909        1.11909
       372        1.11909        1.11909
       373        1.11909        1.11909
       374        1.11909        1.11909
       375        1.11909        1.11909
       376        1.11909        1.11909
       377        1.11909        1.11909
       378        1.11909        1.11909
       379        1.11909        1.11909
       380        1.11909        1.11909
       381        1.11909        1.11909
       382        1.11909        1.11909
       383        1.11909        1.11909
       384        1.11909        1.11909
       385        1.11909        1.11909
       386        1.11909        1.11909
       387        1.11909        1.11909
       388        1.11909        1.11909
       389        1.11909        1.11909
       390        1.11909        1.11909
       391        1.11909        1.11909
       392        1.11909        1.11909
       393        1.11909        1.11909
       394        1.11909        1.11909
       395        1.11909        1.11909
       396        1.11909        1.11909
       397        1.11909        1.11909
       398        1.11909        1.11909
       399        1.11909        1.11909
       400        1.11909        1.11909
       401        1.11909        1.11909
       402        1.11909        1.11909
       403        1.11909        1.11909
       404        1.11909        1.11909
       405        1.11909        1.11909
       406        1.11909        1.11909
       407        1.11909        1.11909
       408        1.11909        1.11909
       409        1.11909        1.11909
       410        1.11909        1.11909
       411        1.11909        1.11909
       412        1.11909        1.11909
       413        1.11909        1.11909
       414        1.11909        1.11909
       415        1.11909        1.11909
       416        1.11909        1.11909
       417        1.11909        1.11909
       418        1.11909        1.11909
       419        1.11909        1.11909
       420        1.11909        1.11909
       421        1.11909        1.11909
       422        1.11909        1.11909
       423        1.11909        1.11909
       424        1.11909        1.11909
       425        1.11909        1.11909
       426        1.11909        1.11909
       427        1.11909        1.11909
       428        1.11909        1.11909
       429        1.11909        1.11909
       430        1.11909        1.11909
       431        1.11909        1.11909
       432        1.11909        1.11909
       433        1.11909        1.11909
       434        1.11909        1.11909
       435        1.11909        1.11909
       436        1.11909        1.11909
       437        1.11909        1.11909
       438        1.11909        1.11909
       439        1.11909        1.11909
       440        1.11909        1.11909
       441        1.11909        1.11909
       442        1.11909        1.11909
       443        1.11909        1.11909
       444        1.11909        1.11909
       445        1.11909        1.11909
       446        1.11909        1.11909
       447        1.11909        1.11909
       448        1.11909        1.11909
       449        1.11909        1.11909
       450        1.11909        1.11909
       451        1.11909        1.11909
       452        1.11909        1.11909
       453        1.11909        1.11909
       454        1.11909        1.11909
       455        1.11909        1.11909
       456        1.11909        1.11909
       457        1.11909        1.11909
       458        1.11909        1.11909
       459        1.11909        1.11909
       460        1.11909        1.11909
       461        1.11909        1.11909
       462        1.11909        1.11909
       463        1.11909        1.11909
       464        1.11909        1.11909
       465        1.11909        1.11909
       466        1.11909        1.11909
       467        1.11909        1.11909
       468        1.11909        1.11909
       469        1.11909        1.11909
